symbol,entry_version,entry_time,exit_time,entry_price,entry_cost_after_fee,exit_price,exit_net_after_fee_tax,sold_shares_norm,exit_size_pct_of_initial,net_return_pct,net_pnl_norm,bars_held,exit_reason
2330.TW,pullback,2023-04-12,2023-04-24,496.6444139920748,497.35213228201354,482.5359651699807,480.4007435241036,0.0020106478591167876,1.0,-0.03408327351514806,-0.03408327351514806,9,stop_loss
2330.TW,pullback,2024-04-22,2024-04-29,716.97927140804,718.0009668697965,764.691897049316,761.3081354048728,0.0006726430541562299,0.5,0.0603163094945105,0.02913026611029234,6,fib_1272_partial_exit
2330.TW,pullback,2024-04-22,2024-07-22,716.97927140804,718.0009668697965,913.3048706054688,909.2634965530395,0.0006726430541562299,0.5,0.2663819946052064,0.1286514121117832,66,ema21_trailing_exit
