Date,open,high,low,close,volume,dividends,stock splits,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,entry_signal,day_low_so_far
2020-04-30,121.30464237758092,124.79542345319476,120.86829474312918,122.17733764648438,15700190,0.0,0.0,2020-04-30,False,False,,,122.17733764648438,122.17733764648438,122.17733764648438,,,,,,,,,,,False,False,120.86829474312918
2020-05-04,123.92273341908175,123.92273341908175,117.81386627870448,118.68656158447266,8943086,0.0,0.0,2020-05-04,False,False,,,121.401609632704,121.85999436811966,122.04044446758195,120.86829474312918,124.79542345319476,122.17733764648438,122.17733764648438,,,,,,,False,False,117.81386627870448
2020-05-05,119.99559128027168,122.17732930354936,118.68654846630508,121.30463409423828,6418731,0.0,0.0,2020-05-05,False,False,,,121.38005951304496,121.80950707049408,122.01158915882338,117.81386627870448,123.92273341908175,121.401609632704,121.85999436811966,122.17733764648438,122.17733764648438,,,,,False,False,118.68654846630508
2020-05-06,120.86829376220703,121.30464139311754,119.12290323856506,120.86829376220703,5461768,0.0,0.0,2020-05-06,False,False,,,121.26633379063652,121.72394222428616,121.96675404523059,118.68654846630508,122.17732930354936,121.38005951304496,121.80950707049408,121.401609632704,121.85999436811966,,,,,False,False,119.12290323856506
2020-05-07,120.86828648958276,122.17732930354936,119.99559128027168,121.30463409423828,2693070,0.0,0.0,2020-05-07,False,False,,,121.2748449692147,121.68582330337273,121.94078855695639,119.12290323856506,121.30464139311754,121.26633379063652,121.72394222428616,121.38005951304496,121.80950707049408,,,,,False,False,119.99559128027168
2020-05-08,122.61368528093611,123.05003291538783,120.86829474312918,122.17733764648438,5600668,0.0,0.0,2020-05-08,False,False,,,121.47539889749685,121.73050642547378,121.95006499183984,119.99559128027168,122.17732930354936,121.2748449692147,121.68582330337273,121.26633379063652,121.72394222428616,,,,,False,False,120.86829474312918
2020-05-11,123.48638054983957,123.48638054983957,121.30464237758092,122.17733764648438,4854469,0.0,0.0,2020-05-11,False,False,,,121.63138528616074,121.77112744556564,121.95897764496316,120.86829474312918,123.05003291538783,121.47539889749685,121.73050642547378,121.2748449692147,121.68582330337273,,,,,False,False,121.30464237758092
2020-05-12,119.55924987792969,121.30464038709654,118.68655462334625,119.55924987792969,7171547,0.0,0.0,2020-05-12,False,False,,,121.17091075099829,121.57004766668963,121.86487067370695,121.30464237758092,123.48638054983957,121.63138528616074,121.77112744556564,121.47539889749685,121.73050642547378,,,,,False,False,118.68655462334625
2020-05-13,116.50483320786012,122.61370086669922,116.50483320786012,122.61370086669922,8285650,0.0,0.0,2020-05-13,False,False,,,121.4915307767096,121.66492523032687,121.89423656362821,118.68655462334625,121.30464038709654,121.17091075099829,121.57004766668963,121.63138528616074,121.77112744556564,,,,,False,False,116.50483320786012
2020-05-14,122.61368528093611,124.35907581874302,120.86829474312918,122.17733764648438,7928006,0.0,0.0,2020-05-14,False,False,,,121.64393230332621,121.71150817725027,121.90533856687748,116.50483320786012,122.61370086669922,121.4915307767096,121.66492523032687,121.17091075099829,121.57004766668963,,,,,False,False,120.86829474312918
2020-05-15,120.86829376220703,123.05003191675951,119.55925086947555,120.86829376220703,5793597,0.0,0.0,2020-05-15,False,False,,,121.47156818307751,121.63485232133725,121.8646701431649,120.86829474312918,124.35907581874302,121.64393230332621,121.71150817725027,121.4915307767096,121.66492523032687,,,,,False,False,119.55925086947555
2020-05-18,120.86829275980483,121.30464038709654,119.55924987792969,119.55924987792969,4127933,0.0,0.0,2020-05-18,False,False,,,121.04660855971133,121.44616119011837,121.77426150531255,119.55925086947555,123.05003191675951,121.47156818307751,121.63485232133725,121.64393230332621,121.71150817725027,,,,,False,False,119.55924987792969
2020-05-19,123.0500259399414,123.4863735496575,121.30463550107699,123.0500259399414,5147999,0.0,0.0,2020-05-19,False,False,,,121.49181242198469,121.59196707646592,121.82429148314114,119.55924987792969,121.30464038709654,121.04660855971133,121.44616119011837,121.47156818307751,121.63485232133725,,,,,False,False,121.30463550107699
2020-05-20,123.92272115937361,123.92272115937361,121.30463550107699,123.0500259399414,4247196,0.0,0.0,2020-05-20,False,False,,3.3661101324357765,121.83808209264174,121.72451788223641,121.87235950105487,121.30463550107699,123.4863735496575,121.49181242198469,121.59196707646592,121.04660855971133,121.44616119011837,,,,,False,False,121.30463550107699
2020-05-21,123.05003389284384,123.92272916867961,122.17733861700806,123.48638153076172,4290445,0.0,0.0,2020-05-21,False,False,,3.210271692550489,122.2043708566684,121.88468730482963,121.93565448261201,121.30463550107699,123.92272115937361,121.83808209264174,121.72451788223641,121.49181242198469,121.59196707646592,0.9708739599222541,0.96116508941172,0.009708870510534151,,False,False,122.17733861700806
2020-05-22,123.48639485455942,123.48639485455942,119.99561337457187,120.43196105957031,3260510,0.0,0.0,2020-05-22,False,False,,3.0232655739512233,121.81050201286882,121.75262128253333,121.87668611308096,122.17733861700806,123.92272916867961,122.2043708566684,121.88468730482963,121.83808209264174,121.72451788223641,0.989691095013795,0.9484534599934648,0.04123763502033029,,False,False,119.99561337457187
2020-05-25,120.43194678521925,121.74098968505858,119.55925151865969,121.7409896850586,3071619,0.0,0.0,2020-05-25,False,False,,2.9297625260336955,121.79505482891099,121.75156386458107,121.87136468453107,119.99561337457187,123.48639485455942,121.81050201286882,121.75262128253333,122.2043708566684,121.88468730482963,0.95744716426423,0.9468083835499217,0.010638780714308349,,False,False,119.55925151865969
2020-05-26,122.17733764648438,123.05003291538783,121.30464237758092,122.17733764648438,3256558,0.0,0.0,2020-05-26,False,False,,2.898594839123298,121.88000656614952,121.79027057202681,121.88336362421552,119.55925151865969,121.74098968505858,121.79505482891099,121.75156386458107,121.81050201286882,121.75262128253333,0.9892475052132873,0.8924731601003413,0.09677434511294603,,False,False,121.30464237758092
2020-05-27,122.17733072050919,123.4863735496575,121.74098311079308,123.0500259399414,3782347,0.0,0.0,2020-05-27,False,False,,2.867427154522351,122.1400108714366,121.90479378729177,121.92911508757732,121.30464237758092,123.05003291538783,121.88000656614952,121.79027057202681,121.79505482891099,121.75156386458107,0.9782610725818732,0.9021739470608788,0.07608712552099439,,False,False,121.74098311079308
2020-05-28,123.05002451286042,123.05002451286042,120.43193888492722,121.30463409423828,4313673,0.0,0.0,2020-05-28,True,False,,2.8985949318620325,121.95437158761476,121.85023381519599,121.90462563685814,121.74098311079308,123.4863735496575,122.1400108714366,121.90479378729177,121.88000656614952,121.79027057202681,0.9247311133583513,0.9354841133960111,-0.010753000037659777,,False,False,120.43193888492722
2020-05-29,120.86830874456876,121.3046564295672,119.99561337457187,120.43196105957031,6073740,0.0,0.0,2020-05-29,True,False,,2.836259566343224,121.61605813693822,121.72129992832093,121.84687408480764,120.43193888492722,123.05002451286042,121.95437158761476,121.85023381519599,122.1400108714366,121.90479378729177,0.9010993871179123,0.9890106726045137,-0.08791128548660143,,False,False,119.99561337457187
2020-06-01,122.17734018961589,126.10446898142497,121.30464490254721,125.66812133789062,10782682,0.0,0.0,2020-06-01,True,False,,2.992097059108691,122.51651662603877,122.08010187464545,121.99672691826187,119.99561337457187,121.3046564295672,121.61605813693822,121.72129992832093,121.95437158761476,121.85023381519599,1.000000462790463,0.822916852987017,0.17708360980344606,,False,False,121.30464490254721
2020-06-02,126.54082489013672,127.41352023420663,125.23178187403187,126.54082489013672,8152296,0.0,0.0,2020-06-02,True,False,,2.71158782348981,123.41080735139386,122.48562214878102,122.17492683872754,121.30464490254721,126.10446898142497,122.51651662603877,122.08010187464545,121.61605813693822,121.72129992832093,1.1609198892895067,0.8045981399729482,0.3563217493165586,,False,False,125.23178187403187
2020-06-03,128.28623403417,132.64971138227102,127.84988629935991,132.21336364746094,16144277,0.0,0.0,2020-06-03,False,True,,2.8985953532412716,125.3669309727421,123.36996228502464,122.56859102730533,125.23178187403187,127.41352023420663,123.41080735139386,122.48562214878102,122.51651662603877,122.08010187464545,1.0752694441264157,0.7204302095849989,0.35483923454141675,,False,False,127.84988629935991
2020-06-04,133.08604431152344,134.8314350565926,131.77700125272156,133.08604431152344,12406706,0.0,0.0,2020-06-04,False,True,,2.867427692997491,127.08228949247129,124.2532424692518,122.98104017570606,127.84988629935991,132.64971138227102,125.3669309727421,123.36996228502464,123.41080735139386,122.48562214878102,1.2065220361855544,0.6304352367259032,0.5760867994596512,,False,False,131.77700125272156
2020-06-05,133.95872497558594,134.3950726139429,133.086029698872,133.95872497558594,7955209,0.0,0.0,2020-06-05,False,True,,2.8362600077049214,128.61038626649676,125.13555906073672,123.4115376188386,131.77700125272156,134.8314350565926,127.08228949247129,124.2532424692518,125.3669309727421,123.36996228502464,1.2417581979799293,0.5934074058516329,0.6483507921282964,,False,False,133.086029698872
2020-06-08,134.83142882316344,135.2677764892578,133.0860381587859,135.2677764892578,7348146,0.0,0.0,2020-06-08,False,True,,2.711589626186643,130.08980631599923,126.05666973605682,123.8764881627766,133.086029698872,134.3950726139429,128.61038626649676,125.13555906073672,127.08228949247129,124.2532424692518,1.252873704089635,0.6551728139160066,0.5977008901736284,,False,False,133.0860381587859
2020-06-09,136.57680679417254,143.55836880282035,136.14045916863208,138.758544921875,24471895,0.0,0.0,2020-06-09,False,True,,3.1167686729913515,132.0161926728605,127.21138566204029,124.46009823176085,133.0860381587859,135.2677764892578,130.08980631599923,126.05666973605682,128.61038626649676,125.13555906073672,1.2700001999550852,0.5400002461573515,0.7299999537977336,,False,False,136.14045916863208
2020-06-10,138.75856859438886,142.68569789423006,138.75856859438886,140.06761169433594,13761299,0.0,0.0,2020-06-10,False,True,,3.2726088458973166,133.80539689985505,128.38013348315806,125.07215758323439,136.14045916863208,143.55836880282035,132.0161926728605,127.21138566204029,130.08980631599923,126.05666973605682,1.2952379580933102,0.5809519654167028,0.7142859926766074,,False,False,138.75856859438886
2020-06-11,140.06757825175032,141.37662103914985,135.26775469795203,136.57679748535156,12499559,0.0,0.0,2020-06-11,False,True,,3.4596149074123366,134.42126369663205,129.12528475608474,125.52331993233702,138.75856859438886,142.68569789423006,133.80539689985505,128.38013348315806,132.0161926728605,127.21138566204029,1.2522512025839754,0.6216221784965709,0.6306290240874045,,False,False,135.26775469795203
2020-06-12,133.52238582488027,136.57681948754094,133.0860381587859,135.2677764892578,9953078,0.0,0.0,2020-06-12,False,True,,3.5531179904377765,134.60937765054888,129.6836930954641,125.90545548358881,135.26775469795203,141.37662103914985,134.42126369663205,129.12528475608474,133.80539689985505,128.38013348315806,1.2105260312841597,0.692982224431425,0.5175438068527347,,False,False,133.0860381587859
2020-06-15,136.1404395009957,137.4494821885053,132.6496590009702,133.52235412597656,9064412,0.0,0.0,2020-06-15,False,True,,3.771291751132648,134.36781686731058,130.03266228005612,126.20415739113344,133.0860381587859,136.57681948754094,134.60937765054888,129.6836930954641,134.42126369663205,129.12528475608474,1.157023946384459,0.7190086543617717,0.4380152920226872,,False,False,132.6496590009702
2020-06-16,136.14045783364847,138.75854356121866,135.70411021238678,137.01315307617188,10871550,0.0,0.0,2020-06-16,False,True,,4.020634536588196,134.95566935816865,130.66725235243027,126.62803957486044,132.6496590009702,137.4494821885053,134.36781686731058,130.03266228005612,134.60937765054888,129.6836930954641,1.1550380366332444,0.6821702523874554,0.472867784245789,,False,False,135.70411021238678
2020-06-17,137.88584967079402,138.758544921875,135.70411154309159,138.758544921875,10009396,0.0,0.0,2020-06-17,False,True,,4.051802131143141,135.80075281677006,131.40282440419796,127.10374566690024,135.70411021238678,138.75854356121866,134.95566935816865,130.66725235243027,134.36781686731058,130.03266228005612,1.1769224205292868,0.6769227614689035,0.49999965906038324,0.5856478743715743,False,False,135.70411154309159
2020-06-18,141.376640625,143.12203125,139.63125,141.81298828125,17024540,0.0,0.0,2020-06-18,False,True,,4.269976650652403,137.13680514221005,132.3492029384754,127.68057871060023,135.70411154309159,138.758544921875,135.80075281677006,131.40282440419796,134.95566935816865,130.66725235243027,1.2262763102118397,0.6058395986753728,0.6204367115364668,0.9369118576749287,False,False,139.63125
2020-06-19,143.12201862507038,145.3037567138672,142.68567100731102,145.3037567138672,18824251,0.0,0.0,2020-06-19,False,True,,4.1141381157068695,138.95168326924497,133.5268896453292,128.3716837303362,139.63125,143.12203125,137.13680514221005,132.3492029384754,135.80075281677006,131.40282440419796,1.2651503880997006,0.6363638342121058,0.6287865538875947,0.8769722823317623,False,False,142.68567100731102
2020-06-22,144.86741827789848,147.48550415039062,143.5583753416524,147.48550415039062,13681875,0.0,0.0,2020-06-22,False,True,,4.238808862032831,140.84808790949955,134.79585460033476,129.12124531543637,142.68567100731102,145.3037567138672,138.95168326924497,133.5268896453292,137.13680514221005,132.3492029384754,1.2058813187110726,0.6323531203372178,0.5735281983738548,0.5855102811242033,False,False,143.5583753416524
2020-06-23,147.04915713141946,149.23089536779068,144.431071247774,148.3582000732422,14072873,0.0,0.0,2020-06-23,False,True,,4.1453044068815705,142.51700172366458,136.0287950978718,129.87563569809544,143.5583753416524,147.48550415039062,140.84808790949955,134.79585460033476,138.95168326924497,133.5268896453292,1.2030065406461843,0.6917293648601176,0.5112771757860667,0.2583470864940625,False,False,144.431071247774
2020-06-24,148.35819880167645,150.1035893758138,145.7401129404704,146.61280822753906,10000369,0.0,0.0,2020-06-24,False,True,12.678544022124452,4.23880745198674,143.4271809467478,136.99097810965975,130.53199540513245,144.431071247774,149.23089536779068,142.51700172366458,136.0287950978718,140.84808790949955,134.79585460033476,1.154411041802565,0.7205880387935293,0.43382300300903576,-0.16357843517685794,False,False,145.7401129404704
2020-06-29,144.43106282853938,148.79453904692426,144.43106282853938,147.0491485595703,16089004,0.0,0.0,2020-06-29,False,True,12.438549870753981,4.456981259366311,144.23206263848613,137.9053572414698,131.17972690138492,145.7401129404704,150.1035893758138,143.4271809467478,136.99097810965975,142.51700172366458,136.0287950978718,1.1048945544448365,0.7482514309520305,0.356643123492806,-0.6954905676251576,True,False,144.43106282853938
2020-06-30,147.92184311596316,148.79453835558536,145.74010501690765,146.17645263671875,8697730,0.0,0.0,2020-06-30,False,True,11.630683108369517,4.519316617095297,144.66414930476003,138.65727500467423,131.76783379296666,144.43106282853938,148.79453904692426,144.23206263848613,137.9053572414698,143.4271809467478,136.99097810965975,1.1241372357987411,0.7655170673735808,0.3586201684251603,-1.0917656174352997,True,False,145.74010501690765
2020-07-01,146.17646906579841,148.7945550789172,146.17646906579841,147.92185974121094,7606726,0.0,0.0,2020-07-01,False,True,11.186389145897138,4.114138769140719,145.38808495730467,139.49950998072302,132.4013250066233,145.74010501690765,148.79453835558536,144.66414930476003,138.65727500467423,144.23206263848613,137.9053572414698,1.1060597933086886,0.8712113704838482,0.23484842282484042,-2.1053048219845087,True,False,146.17646906579841
2020-07-02,146.573007912074,150.61950199553615,146.573007912074,148.82106018066406,11401074,5.0,0.0,2020-07-02,False,True,10.627256212575546,4.122663134219798,146.1509683402734,140.3469236352631,133.04523618991902,146.17646906579841,148.7945550789172,145.38808495730467,139.49950998072302,144.66414930476003,138.65727500467423,1.0673503452822457,0.8247395999104016,0.24261074537184413,-1.8785666795558253,True,False,146.573007912074
2020-07-03,148.82106963301126,153.7667849380358,148.82106963301126,152.41795349121094,12728030,0.0,0.0,2020-07-03,False,True,10.659734276700124,4.039581592517935,147.5436317071484,141.4442899858038,133.80495059389125,146.573007912074,150.61950199553615,146.1509683402734,140.3469236352631,145.38808495730467,139.49950998072302,1.1702111423205945,0.7423367604342099,0.4278743818863846,-0.6015488866811841,True,False,148.82106963301126
2020-07-06,153.7667935725312,162.3093932154496,153.7667935725312,158.71250915527344,17973611,0.0,0.0,2020-07-06,False,True,11.285627863980173,4.496771477909623,150.0256044733984,143.01412809211922,134.7817175962984,148.82106963301126,153.7667849380358,147.5436317071484,141.4442899858038,146.1509683402734,140.3469236352631,1.2446953273043897,0.5351719672695588,0.7095233600348309,1.3363955359135573,True,False,153.7667935725312
2020-07-07,160.96053083147322,161.85975167410714,154.6659849330357,157.3636474609375,9135303,0.0,0.0,2020-07-07,False,True,11.540763368411325,4.6677674460193606,151.65628069285154,144.31862985292088,135.66728347334308,153.7667935725312,162.3093932154496,150.0256044733984,143.01412809211922,147.5436317071484,141.4442899858038,1.2561689022844493,0.5724347539217799,0.6837341483626694,1.1305250157985405,True,False,154.6659849330357
