strategy,entry_time,exit_time,entry_trade_date,exit_trade_date,entry_price,exit_price,entry_high,entry_atr,stop_price_at_exit,target_price,tightened,target_hit,stop_hit,gross_return_pct,net_return_pct,gross_pnl,net_pnl,buy_fee,sell_fee,sell_tax,total_cost,bars_held,exit_reason
fixed_pct,2024-01-19 09:00:00,2024-02-15 09:00:00,2024-01-19,2024-02-15,619.0,680.9000000000001,625.0,6.928571428571429,588.05,680.9000000000001,False,True,False,0.10000000000000009,0.09357415682652226,61.90000000000009,58.00494250000009,0.882075,0.9702825000000002,2.0427000000000004,3.8950575000000005,36,fixed_pct_take_profit
fixed_pct,2024-02-23 10:30:00,2024-03-08 09:00:00,2024-02-23,2024-03-08,700.0,770.0000000000001,700.0,5.928571428571429,665.0,770.0000000000001,False,True,False,0.10000000000000009,0.09357415682652226,70.00000000000011,65.5952500000001,0.9975,1.0972500000000003,2.3100000000000005,4.404750000000001,26,fixed_pct_take_profit
fixed_pct,2024-04-02 12:00:00,2024-04-19 10:30:00,2024-04-02,2024-04-19,790.0,750.5,790.0,6.571428571428571,750.5,869.0000000000001,False,False,True,-0.050000000000000044,-0.05554959183163999,-39.5,-43.946712500000004,1.12575,1.0694625,2.2515,4.4467125,32,fixed_pct_stop_loss
fixed_pct,2024-04-26 09:00:00,2024-05-23 09:00:00,2024-04-26,2024-05-23,787.0,865.7,789.0,10.5,747.65,865.7,False,True,False,0.10000000000000009,0.09357415682652226,78.70000000000005,73.74780250000005,1.121475,1.2336225,2.5971,4.9521975000000005,54,fixed_pct_take_profit
fixed_pct,2024-06-06 09:00:00,2024-07-04 09:00:00,2024-06-06,2024-07-04,895.0,984.5000000000001,898.0,10.142857142857142,850.25,984.5000000000001,False,True,False,0.10000000000000009,0.09357415682652226,89.50000000000011,83.86821250000011,1.2753750000000001,1.4029125000000002,2.9535000000000005,5.6317875000000015,57,fixed_pct_take_profit
fixed_pct,2024-08-16 12:00:00,2024-09-04 09:00:00,2024-08-16,2024-09-04,967.0,918.65,968.0,7.642857142857143,918.65,1063.7,False,False,True,-0.050000000000000044,-0.05554959183163988,-48.35000000000002,-53.793001250000025,1.377975,1.30907625,2.75595,5.44300125,37,fixed_pct_stop_loss
fixed_pct,2024-09-12 09:00:00,2024-10-11 09:00:00,2024-09-12,2024-10-11,941.0,1035.1000000000001,942.0,10.357142857142858,893.9499999999999,1035.1000000000001,False,True,False,0.10000000000000009,0.09357415682652226,94.10000000000014,88.17875750000013,1.3409250000000001,1.4750175000000003,3.1053000000000006,5.921242500000001,51,fixed_pct_take_profit
fixed_pct,2024-10-22 10:30:00,2024-11-01 09:00:00,2024-10-22,2024-11-01,1065.0,1011.75,1070.0,20.357142857142858,1011.75,1171.5,False,False,True,-0.050000000000000044,-0.05554959183163988,-53.25,-59.24461875,1.517625,1.44174375,3.03525,5.994618750000001,20,fixed_pct_stop_loss
fixed_pct,2024-11-07 12:00:00,2024-11-21 09:00:00,2024-11-07,2024-11-21,1070.0,1016.5,1075.0,15.714285714285714,1016.5,1177.0,False,False,True,-0.050000000000000044,-0.05554959183163988,-53.5,-59.5227625,1.52475,1.4485125,3.0495,6.022762500000001,28,fixed_pct_stop_loss
fixed_pct,2024-12-17 10:30:00,2025-03-03 09:00:00,2024-12-17,2025-03-03,1080.0,1026.0,1085.0,10.714285714285714,1026.0,1188.0,False,False,True,-0.050000000000000044,-0.05554959183163999,-54.0,-60.07905,1.5390000000000001,1.46205,3.078,6.0790500000000005,134,fixed_pct_stop_loss
fixed_pct,2025-03-25 10:30:00,2025-03-31 09:00:00,2025-03-25,2025-03-31,990.0,940.5,990.0,9.642857142857142,940.5,1089.0,False,False,True,-0.050000000000000044,-0.05554959183163999,-49.5,-55.0724625,1.41075,1.3402125,2.8215,5.5724625,11,fixed_pct_stop_loss
fixed_pct,2025-05-12 09:00:00,2025-06-11 09:00:00,2025-05-12,2025-06-11,958.0,1053.8000000000002,962.0,10.428571428571429,910.0999999999999,1053.8000000000002,False,True,False,0.10000000000000009,0.09357415682652248,95.80000000000018,89.77178500000018,1.36515,1.5016650000000002,3.1614000000000004,6.028215000000001,63,fixed_pct_take_profit
fixed_pct,2025-06-25 09:00:00,2025-08-07 09:00:00,2025-06-25,2025-08-07,1065.0,1171.5,1065.0,12.142857142857142,1011.75,1171.5,False,True,False,0.10000000000000009,0.09357415682652226,106.5,99.7984875,1.517625,1.6693875,3.5145,6.7015125,93,fixed_pct_take_profit
fixed_pct,2025-09-09 09:00:00,2025-09-23 09:00:00,2025-09-09,2025-09-23,1200.0,1320.0,1200.0,12.5,1140.0,1320.0,False,True,False,0.10000000000000009,0.09357415682652204,120.0,112.449,1.71,1.881,3.96,7.551,30,fixed_pct_take_profit
fixed_pct,2025-10-29 10:30:00,2025-11-14 09:00:00,2025-10-29,2025-11-14,1510.0,1434.5,1515.0,17.857142857142858,1434.5,1661.0000000000002,False,False,True,-0.050000000000000044,-0.05554959183163999,-75.5,-83.9994125,2.1517500000000003,2.0441625,4.3035,8.4994125,35,fixed_pct_stop_loss
