Date,open,high,low,close,volume,dividends,stock splits,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,prev_atr14,entry_signal,day_low_so_far
2020-04-30,49.55354836680099,50.75666824446946,49.40315479651236,50.45588684082031,11778763,0.0,0.0,2020-04-30,False,False,,,50.45588684082031,50.45588684082031,50.45588684082031,,,,,,,,,,,,,False,49.40315479651236
2020-05-04,47.448082932805036,48.876790256931706,47.448082932805036,48.425621032714844,14482850,0.0,0.0,2020-05-04,False,False,,,50.00471666124132,50.27131722190163,50.37626857383578,49.40315479651236,50.75666824446946,50.45588684082031,50.45588684082031,,,,,,,False,,False,47.448082932805036
2020-05-05,48.5760077050596,49.403152219248184,48.5760077050596,48.87678909301758,8474433,0.0,0.0,2020-05-05,False,False,,,49.75406609052493,50.14454193745763,50.31746545694095,47.448082932805036,48.876790256931706,50.00471666124132,50.27131722190163,50.45588684082031,50.45588684082031,,,,,False,,False,48.5760077050596
2020-05-06,48.57600886181115,49.17757165205226,48.12483963759429,48.425621032714844,13182731,0.0,0.0,2020-05-06,False,False,,,49.45885607767824,49.98827640066283,50.24327547952032,48.5760077050596,49.403152219248184,49.75406609052493,50.14454193745763,50.00471666124132,50.27131722190163,,,,,False,,False,48.12483963759429
2020-05-07,48.876794319581286,50.230307841664136,48.57601289945972,49.77913284301758,8103473,0.0,0.0,2020-05-07,False,False,,,49.530028692198094,49.96926334996781,50.22507380750061,48.12483963759429,49.17757165205226,49.45885607767824,49.98827640066283,49.75406609052493,50.14454193745763,,,,,False,,False,48.57601289945972
2020-05-08,50.38068659360731,51.43341850563532,50.38068659360731,50.83185577392578,6710812,0.0,0.0,2020-05-08,False,False,,,49.81932359924869,50.0476808430549,50.24886917873297,48.57601289945972,50.230307841664136,49.530028692198094,49.96926334996781,49.45885607767824,49.98827640066283,,,,,False,,False,50.38068659360731
2020-05-11,51.88459256542649,52.11018004526473,51.433423342677926,51.80939865112305,6928000,0.0,0.0,2020-05-11,False,False,,,50.26156249966522,50.20783700742473,50.310066412944344,50.38068659360731,51.43341850563532,49.81932359924869,50.0476808430549,49.530028692198094,49.96926334996781,,,,,False,,False,51.433423342677926
2020-05-12,50.98225440694278,51.734205028066256,50.75666692583455,51.20783615112305,7010713,0.0,0.0,2020-05-12,False,False,,,50.47184553332251,50.29874602048821,50.34527306934351,51.433423342677926,52.11018004526473,50.26156249966522,50.20783700742473,49.81932359924869,50.0476808430549,,,,,False,,False,50.75666692583455
2020-05-13,50.0799125866016,51.35823214509155,50.0799125866016,51.13264465332031,6986851,0.0,0.0,2020-05-13,False,False,,,50.61868978221091,50.374554987109306,50.37615038636221,50.75666692583455,51.734205028066256,50.47184553332251,50.29874602048821,50.26156249966522,50.20783700742473,,,,,False,,False,50.0799125866016
2020-05-14,50.45588802814412,51.13264476804805,50.00471878051758,50.00471878051758,8139890,0.0,0.0,2020-05-14,False,False,,,50.48225178183461,50.34093351378279,50.36158444103497,50.0799125866016,51.35823214509155,50.61868978221091,50.374554987109306,50.47184553332251,50.29874602048821,,,,,False,,False,50.00471878051758
2020-05-15,50.83185805443965,50.83185805443965,49.102375162806325,49.92951965332031,4163160,0.0,0.0,2020-05-15,False,False,,,50.35942241994255,50.30353225374074,50.34464072386969,50.00471878051758,51.13264476804805,50.48225178183461,50.34093351378279,50.61868978221091,50.374554987109306,,,,,False,,False,49.102375162806325
2020-05-18,49.027179751727346,49.102379405758356,46.996915305309244,47.07210922241211,15781774,0.0,0.0,2020-05-18,False,False,,,49.628908376046894,50.00976652361996,50.21630615518507,49.102375162806325,50.83185805443965,50.35942241994255,50.30353225374074,50.48225178183461,50.34093351378279,,,,,False,,False,46.996915305309244
2020-05-19,48.275226306479375,48.35042595614818,46.24496197783342,46.77132797241211,11905690,0.0,0.0,2020-05-19,False,False,,,48.99389050857249,49.7153630189647,50.08120897154692,46.996915305309244,49.102379405758356,49.628908376046894,50.00976652361996,50.35942241994255,50.30353225374074,,,,,False,,False,46.24496197783342
2020-05-20,46.4705491414878,47.14730586724984,45.86898920106824,46.395355224609375,11055536,0.0,0.0,2020-05-20,False,False,,1.6166944610942384,48.416438223247354,49.41354412856876,49.93666568735329,46.24496197783342,48.35042595614818,48.99389050857249,49.7153630189647,49.628908376046894,50.00976652361996,,,,,False,,False,45.86898920106824
2020-05-21,46.92172123434619,47.59847509144507,46.395355210959906,47.37289047241211,19529996,0.0,0.0,2020-05-21,False,False,,1.6059520634176714,48.18453872306174,49.22803015982725,49.836125482845794,45.86898920106824,47.14730586724984,48.416438223247354,49.41354412856876,48.99389050857249,49.7153630189647,0.7357864198419083,0.9765884320525404,-0.24080201221063213,,False,1.6166944610942384,False,46.395355210959906
2020-05-22,46.921717522213335,46.921717522213335,46.01937624900465,46.09457015991211,10516294,0.0,0.0,2020-05-22,False,False,,1.487788514517113,47.720101264584045,48.94317015983496,49.6893978231229,46.395355210959906,47.59847509144507,48.18453872306174,49.22803015982725,48.416438223247354,49.41354412856876,0.7942241444155145,0.9711188422716326,-0.1768946978561181,,False,1.6059520634176714,False,46.01937624900465
2020-05-25,46.09457405258859,46.47054937580459,45.19223270317738,45.944183349609375,9468227,0.0,0.0,2020-05-25,False,False,,1.5092731920952462,47.325452839034114,48.670534995269,49.542526667298844,46.01937624900465,46.921717522213335,47.720101264584045,48.94317015983496,48.18453872306174,49.22803015982725,0.7117441768524853,1.0249102878159033,-0.31316611096341807,,False,1.487788514517113,False,45.19223270317738
2020-05-26,46.09457250391417,46.846523125082314,45.718597193330105,46.169769287109375,9475074,0.0,0.0,2020-05-26,False,False,,1.514644186187692,47.06863427193973,48.443192658163575,49.4102616719973,45.19223270317738,46.47054937580459,47.325452839034114,48.670534995269,47.720101264584045,48.94317015983496,0.7588654579359674,0.9964534668250999,-0.23758800888913256,,False,1.5092731920952462,False,45.718597193330105
