Date,open,high,low,close,volume,trade_date,sqz_on,sqz_off,sqz_val,tr,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,weekly_bull,near_ema50,momentum_up,sqz_fired,entry_fired,entry_pullback,entry_strong,entry_fired_next,entry_pullback_next,entry_strong_next
2022-01-03,572.0115696926691,584.0247367459885,571.0874799193368,583.1006469726562,69089158,2022-01-03,False,True,10.761397761026625,15.709429128801048,6.4494131572288405,567.6434117742165,561.3525959560415,556.3711658121025,568.3153076171875,572.9357572726118,True,False,True,False,False,False,False,False,False,False
2022-01-04,596.0378935278916,606.202880859375,595.113803770484,606.202880859375,79434666,2022-01-04,False,True,16.3902024252448,23.10223388671875,7.836756269365602,576.2121826820295,565.4298945836172,558.3253507159171,571.0874799193368,584.0247367459885,True,False,True,False,False,False,False,False,False,False
2022-01-05,618.2160300856369,618.2160300856369,596.9619662710336,600.6583251953125,69593809,2022-01-05,False,True,20.27421300400239,21.25406381460334,9.026384244997148,581.6446587960924,568.6324791846804,559.985467362168,595.113803770484,606.202880859375,True,False,True,False,False,False,False,False,False,False
2022-01-06,589.5692313058036,596.9619489397321,587.7210518973214,595.11376953125,53210211,2022-01-06,False,True,22.116086535726055,12.937273297991055,9.438926471360348,584.6377945150163,571.0398692161866,561.3630478393869,596.9619662710336,618.2160300856369,True,False,True,False,False,False,False,False,False,False
2022-01-07,594.1897328855111,596.9620022457857,584.0247452311712,585.8729248046875,38249908,2022-01-07,False,True,22.31370571084547,12.937257014614488,9.834964965718841,584.912267912721,572.3883288151412,562.324219485085,587.7210518973214,596.9619489397321,True,False,True,False,False,False,False,False,False,False
2022-01-10,580.3283512951983,596.0378767283486,579.4042615638365,594.189697265625,38289770,2022-01-10,False,True,23.47045876527025,16.633615164512094,10.429020799177295,586.973918880033,574.3702714015487,563.5738460647141,584.0247452311712,596.9620022457857,True,False,True,False,False,False,False,False,False,False
2022-01-11,596.9619489397321,601.5823974609375,590.4933210100446,601.5823974609375,33196585,2022-01-11,False,True,25.14463686721328,11.08907645089289,10.891065635649397,590.2202474535674,576.8441010433113,565.064377492017,579.4042615638365,596.0378767283486,True,False,True,False,False,False,False,False,False,False
2022-01-12,607.1270224831321,609.8992919921875,600.6583936286695,609.8992919921875,38860063,2022-01-12,False,True,27.515427900324102,9.240898363518,11.287099180809069,594.5933684621497,579.8491184023001,566.8226094332002,590.4933210100446,601.5823974609375,True,False,True,False,False,False,False,False,False,False
2022-01-13,608.0511555866467,611.7475151950762,605.2788858803245,610.8234252929688,38137411,2022-01-13,False,True,29.288799665775496,6.468629314751638,11.221095974002187,598.2000477578872,582.6649644832698,568.5481316237793,600.6583936286695,609.8992919921875,True,False,True,False,False,False,False,False,False,False
2022-01-14,621.912370954241,621.912370954241,610.8232945033482,620.98828125,95200777,2022-01-14,False,True,32.71277056253114,11.08907645089289,11.6831408467455,603.2640996450234,586.1489023711543,570.6046080797096,605.2788858803245,611.7475151950762,True,False,True,False,False,False,False,False,False,False
2022-01-17,633.0014998741765,635.7737692166911,626.532871408309,631.1533203125,59614236,2022-01-17,False,True,36.86143980454746,14.785487966691107,12.343202432663011,609.461704237796,590.2402130930948,572.9790673829563,610.8232945033482,621.912370954241,True,False,True,False,False,False,False,False,False,False
2022-01-18,626.5329980763784,629.3052679793711,611.74755859375,611.74755859375,43593330,2022-01-18,False,True,35.86443629148699,19.40576171875,13.135264374627297,609.9696718724524,592.195426320427,574.4994003716149,626.532871408309,635.7737692166911,True,False,False,False,False,False,False,False,False,False
2022-01-19,602.5066175548309,609.8993367886325,601.5825276506056,604.3547973632812,40381333,2022-01-19,False,True,32.7138328103609,10.165030943144416,13.531305940807572,608.7219219815255,593.3008236879592,575.670200253641,611.74755859375,629.3052679793711,True,False,False,False,False,False,False,False,False,False
2022-01-20,600.6583077566964,607.126935686384,596.9619489397321,601.5823974609375,46474584,2022-01-20,False,True,28.717702041134338,10.164986746651834,13.927344304466683,607.1353609769504,594.0536940309572,576.6863648500056,601.5825276506056,609.8993367886325,True,False,False,False,False,False,False,False,False,False
2022-01-21,595.1138220919462,596.9620016636603,588.6451935909467,592.341552734375,49577684,2022-01-21,False,True,23.201893476219805,12.937203869990753,13.72932821455166,603.8478480341558,593.898044822177,577.3002937866476,596.9619489397321,607.126935686384,True,True,False,False,False,False,False,False,False,False
2022-01-24,590.4934660603404,605.2789049601299,588.6452861978668,603.4307250976562,47134502,2022-01-24,False,True,19.444430763373525,16.633618762263154,13.267284277090548,603.7551540482671,594.7646521199479,578.3250165831577,588.6451935909467,596.9620016636603,True,True,False,False,False,False,False,False,False,False
2022-01-25,594.1897323060891,596.0379118778033,589.5692833768038,592.341552734375,52318736,2022-01-25,False,True,13.315063791000886,13.86144172085244,12.739239841822625,601.2187982007355,594.544370357623,578.8746846675191,588.6452861978668,605.2789049601299,True,True,False,False,False,False,False,False,False,False
2022-01-26,586.7970405434662,592.3415795092313,586.7970405434662,587.7211303710938,29957189,2022-01-26,False,True,6.87085691753558,5.544538965765128,12.211187389520774,598.2193164608151,593.9240758133931,579.221604106875,589.5692833768038,596.0379118778033,True,True,False,False,False,False,False,False,False,False
