symbol,entry_version,entry_time,exit_time,entry_price,entry_cost_after_fee,exit_price,exit_net_after_fee_tax,sold_shares_norm,exit_size_pct_of_initial,net_return_pct,net_pnl_norm,bars_held,exit_reason
2308.TW,strong,2022-11-10,2022-11-15,254.9774255506227,255.34076838203237,271.1598961600784,269.9600136195701,0.001958167523221034,0.5,0.057253862476300155,0.02862693123815012,4,fib_1272_partial_exit
2308.TW,strong,2022-11-10,2022-12-19,254.9774255506227,255.34076838203237,271.8509216308594,270.6479813026428,0.001958167523221034,0.5,0.05994817442433753,0.029974087212168727,28,ema21_trailing_exit
2308.TW,strong,2023-02-03,2023-02-24,280.75639158536745,281.1564694433766,268.2351752643585,267.0482346138137,0.0037651668501389956,1.0,-0.05017930000861748,-0.053119858094246575,16,stop_loss
2308.TW,strong,2023-03-28,2023-04-14,284.50605464660543,284.91147577447686,297.7075617392519,296.3902057785557,0.0017645501249517347,0.5,0.04028875977310542,0.020254794462984543,14,fib_1272_partial_exit
2308.TW,strong,2023-03-28,2023-04-25,284.50605464660543,284.91147577447686,279.316768980885,278.0807922781446,0.0017645501249517347,0.5,-0.02397475734441501,-0.012053083416958833,21,stop_loss
2308.TW,strong,2023-05-29,2023-06-02,303.7231104831121,304.15591591555057,291.53671322228774,290.24666326627914,0.003332773812242893,1.0,-0.04573066615325461,-0.046356392977361875,5,stop_loss
2308.TW,strong,2024-05-28,2024-05-30,340.4946459925708,340.9798508631102,319.27400428022264,317.86121681128265,0.0028369021687826342,1.0,-0.06780058702386127,-0.06558530308092161,3,stop_loss
2308.TW,strong,2024-12-11,2024-12-13,395.95630869388003,396.5205464337688,417.9165220725616,416.0672414623905,0.0011370674022492722,0.5,0.04929554144021275,0.02222590973875362,3,fib_1272_partial_exit
2308.TW,strong,2024-12-11,2025-01-03,395.95630869388003,396.5205464337688,406.7640380859375,404.9641072174072,0.0011370674022492722,0.5,0.02129413181631623,0.009600897725985564,18,ema21_trailing_exit
