strategy,entry_time,exit_time,entry_trade_date,exit_trade_date,entry_price,exit_price,entry_high,entry_atr,stop_price_at_exit,target_price,tightened,target_hit,stop_hit,gross_return_pct,net_return_pct,gross_pnl,net_pnl,buy_fee,sell_fee,sell_tax,total_cost,bars_held,exit_reason
atr,2024-01-19 09:00:00,2024-01-29 09:00:00,2024-01-19,2024-01-29,619.0,646.7142857142857,625.0,6.928571428571429,607.0714285714286,646.7142857142857,True,True,False,0.04477267482114011,0.03866945176628933,27.714285714285666,23.97049999999995,0.882075,0.9215678571428572,1.940142857142857,3.743785714285714,18,take_profit_4atr
atr,2024-02-23 10:30:00,2024-03-04 10:30:00,2024-02-23,2024-03-04,700.0,723.7142857142857,700.0,5.928571428571429,686.0714285714286,723.7142857142857,True,True,False,0.033877551020408125,0.027837973744556654,23.714285714285666,19.51434999999995,0.9975,1.031292857142857,2.1711428571428573,4.199935714285715,15,take_profit_4atr
atr,2024-04-02 12:00:00,2024-04-09 10:30:00,2024-04-02,2024-04-09,790.0,816.2857142857143,790.0,6.571428571428571,775.4285714285714,816.2857142857143,True,True,False,0.033273056057866235,0.02723701004549528,26.285714285714334,21.54790000000005,1.12575,1.1632071428571429,2.448857142857143,4.737814285714286,8,take_profit_4atr
atr,2024-04-26 09:00:00,2024-05-02 12:00:00,2024-04-26,2024-05-02,787.0,772.5,789.0,10.5,772.5,829.0,True,False,True,-0.01842439644218552,-0.024158442707071237,-14.5,-19.0397875,1.121475,1.1008125,2.3175,4.5397875,11,stop_loss
atr,2024-05-13 09:00:00,2024-05-15 09:00:00,2024-05-13,2024-05-15,820.0,842.0,825.0,5.5,812.5,842.0,True,True,False,0.02682926829268295,0.020830864798150328,22.0,17.105649999999997,1.1685,1.19985,2.5260000000000002,4.894350000000001,6,take_profit_4atr
atr,2024-05-22 12:00:00,2024-05-30 09:00:00,2024-05-22,2024-05-30,863.0,850.0,865.0,8.0,850.0,895.0,True,False,True,-0.015063731170335992,-0.020817409351581384,-13.0,-17.991025,1.229775,1.21125,2.5500000000000003,4.9910250000000005,16,stop_loss
atr,2024-06-06 09:00:00,2024-06-18 09:00:00,2024-06-06,2024-06-18,895.0,935.5714285714286,898.0,10.142857142857142,874.8571428571429,935.5714285714286,True,True,False,0.04533120510774147,0.039224719300136934,40.571428571428555,35.15614999999998,1.2753750000000001,1.3331892857142857,2.806714285714286,5.415278571428572,21,take_profit_4atr
atr,2024-07-04 09:00:00,2024-07-08 09:00:00,2024-07-04,2024-07-08,1000.0,1038.0,1005.0,9.5,987.5,1038.0,True,True,False,0.038000000000000034,0.031936340714481926,38.0,31.98185,1.425,1.47915,3.114,6.01815,6,take_profit_4atr
atr,2024-08-16 12:00:00,2024-08-21 12:00:00,2024-08-16,2024-08-21,967.0,956.3571428571429,968.0,7.642857142857143,956.3571428571429,997.5714285714286,True,False,True,-0.011006057024671279,-0.016783438822015717,-10.64285714285711,-16.252712499999966,1.377975,1.3628089285714287,2.869071428571429,5.609855357142857,9,stop_loss
atr,2024-09-12 09:00:00,2024-09-24 12:00:00,2024-09-12,2024-09-24,941.0,982.4285714285714,942.0,10.357142857142858,917.6428571428571,982.4285714285714,True,True,False,0.04402611203886453,0.037927250161612136,41.428571428571445,35.740400000000015,1.3409250000000001,1.3999607142857144,2.9472857142857145,5.6881714285714295,23,take_profit_4atr
atr,2024-10-22 10:30:00,2024-10-29 09:00:00,2024-10-22,2024-10-29,1065.0,1039.642857142857,1070.0,20.357142857142858,1039.642857142857,1146.4285714285713,True,False,True,-0.023809523809523836,-0.029512111907198824,-25.35714285714289,-31.475187500000033,1.517625,1.4814910714285714,3.1189285714285715,6.118044642857143,14,stop_loss
atr,2024-11-07 12:00:00,2024-11-13 09:00:00,2024-11-07,2024-11-13,1070.0,1049.2857142857142,1075.0,15.714285714285714,1049.2857142857142,1132.857142857143,True,False,True,-0.019359145527369837,-0.025087731291321136,-20.71428571428578,-26.882125000000066,1.52475,1.495232142857143,3.1478571428571427,6.167839285714285,10,stop_loss
atr,2024-12-17 10:30:00,2024-12-19 10:30:00,2024-12-17,2024-12-19,1080.0,1059.2857142857142,1085.0,10.714285714285714,1059.2857142857142,1122.857142857143,True,False,True,-0.019179894179894186,-0.024909527072070392,-20.71428571428578,-26.940625000000065,1.5390000000000001,1.5094821428571428,3.177857142857143,6.226339285714285,6,stop_loss
atr,2025-01-20 09:00:00,2025-02-03 09:00:00,2025-01-20,2025-02-03,1125.0,1098.9285714285713,1135.0,16.071428571428573,1098.9285714285713,1189.2857142857142,True,False,True,-0.023174603174603292,-0.028880900272667098,-26.07142857142867,-32.5373125000001,1.6031250000000001,1.5659732142857141,3.296785714285714,6.4658839285714285,9,stop_loss
atr,2025-03-25 10:30:00,2025-03-27 09:00:00,2025-03-25,2025-03-27,990.0,975.3571428571429,990.0,9.642857142857142,975.3571428571429,1028.5714285714287,True,False,True,-0.014790764790764799,-0.02054603755305262,-14.64285714285711,-20.36956249999997,1.41075,1.3898839285714286,2.926071428571429,5.7267053571428574,5,stop_loss
atr,2025-05-12 09:00:00,2025-05-15 09:00:00,2025-05-12,2025-05-15,958.0,999.7142857142857,962.0,10.428571428571429,944.5714285714286,999.7142857142857,True,True,False,0.043543095735162574,0.03744705548247196,41.714285714285666,35.925399999999954,1.36515,1.4245928571428572,2.999142857142857,5.788885714285715,9,take_profit_4atr
atr,2025-06-04 10:30:00,2025-06-10 09:00:00,2025-06-04,2025-06-10,983.0,1027.0,985.0,11.0,959.0,1027.0,True,True,False,0.04476093591047814,0.038657781430535776,44.0,38.05475,1.400775,1.463475,3.081,5.94525,11,take_profit_4atr
atr,2025-06-25 09:00:00,2025-07-15 09:00:00,2025-06-25,2025-07-15,1065.0,1113.5714285714287,1065.0,12.142857142857142,1042.857142857143,1113.5714285714287,True,True,False,0.045606975184440124,0.03949887841750388,48.57142857142867,42.1262500000001,1.517625,1.586839285714286,3.340714285714286,6.445178571428572,42,take_profit_4atr
atr,2025-07-16 09:00:00,2025-08-07 09:00:00,2025-07-16,2025-08-07,1125.0,1167.857142857143,1125.0,10.714285714285714,1109.2857142857142,1167.857142857143,True,True,False,0.03809523809523818,0.03203102245966161,42.85714285714289,36.086250000000035,1.6031250000000001,1.6641964285714286,3.5035714285714286,6.770892857142858,48,take_profit_4atr
atr,2025-09-09 09:00:00,2025-09-11 09:00:00,2025-09-09,2025-09-11,1200.0,1250.0,1200.0,12.5,1182.5,1250.0,True,True,False,0.04166666666666674,0.035581587903903644,50.0,42.75875,1.71,1.78125,3.75,7.24125,6,take_profit_4atr
atr,2025-09-23 09:00:00,2025-09-26 09:00:00,2025-09-23,2025-09-26,1330.0,1301.4285714285713,1330.0,13.571428571428571,1301.4285714285713,1384.2857142857142,True,False,True,-0.02148227712137496,-0.02719846023927197,-28.57142857142867,-36.225500000000096,1.89525,1.8545357142857142,3.904285714285714,7.654071428571428,9,stop_loss
atr,2025-10-29 10:30:00,2025-11-05 09:00:00,2025-10-29,2025-11-05,1510.0,1487.142857142857,1515.0,17.857142857142858,1487.142857142857,1581.4285714285713,True,False,True,-0.015137180700094621,-0.020890429813013145,-22.85714285714289,-31.589500000000033,2.1517500000000003,2.1191785714285714,4.461428571428572,8.732357142857143,14,stop_loss
atr,2025-12-02 09:00:00,2025-12-08 10:30:00,2025-12-02,2025-12-08,1430.0,1488.5714285714287,1440.0,14.642857142857142,1405.357142857143,1488.5714285714287,True,True,False,0.040959040959041015,0.03487809591611679,58.57142857142867,49.946750000000094,2.03775,2.1212142857142857,4.465714285714286,8.624678571428571,13,take_profit_4atr
atr,2025-12-23 10:30:00,2025-12-31 09:00:00,2025-12-23,2025-12-31,1480.0,1544.2857142857142,1490.0,16.071428571428573,1463.9285714285713,1544.2857142857142,True,True,False,0.043436293436293294,0.03734087708798728,64.28571428571422,55.343249999999934,2.109,2.2006071428571428,4.632857142857143,8.942464285714285,14,take_profit_4atr
