symbol,entry_version,entry_time,exit_time,entry_price,entry_cost_after_fee,exit_price,exit_net_after_fee_tax,sold_shares_norm,exit_size_pct_of_initial,net_return_pct,net_pnl_norm,bars_held,exit_reason
2454.TW,strong,2023-04-06,2023-04-07,627.8508757937002,628.7455632917063,603.1679342226705,600.4989161137352,0.0015904684794349005,1.0,-0.04492540198628181,-0.04492540198628184,2,stop_loss
2454.TW,strong,2024-12-06,2024-12-16,1248.5855885940493,1250.3648230577958,1330.7782169743614,1324.8895233642497,0.0003819183731025244,0.5,0.059602364791583096,0.028462352296994092,7,fib_1272_partial_exit
2454.TW,strong,2024-12-06,2025-03-07,1248.5855885940493,1250.3648230577958,1409.396728515625,1403.1601479919434,0.0003819183731025244,0.5,0.12220059467162803,0.05835534191652124,66,ema21_trailing_exit
2454.TW,strong,2025-08-28,2025-09-09,1368.4721900031025,1370.4222628738569,1442.4495849545042,1436.0667455410805,0.0003801354956253862,0.5,0.047900916706915764,0.024953797953777137,9,fib_1272_partial_exit
2454.TW,strong,2025-08-28,2025-09-22,1368.4721900031025,1370.4222628738569,1378.281982421875,1372.1830846496582,0.0003801354956253862,0.5,0.0012848753435374949,0.0006693508584522122,18,ema21_trailing_exit
