證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
3037 欣興,2025/12/31,220,223.5,219,220,"12,816"
3037 欣興,2025/12/30,221.5,224,218,219.5,"11,167"
3037 欣興,2025/12/29,222.5,222.5,217.5,220.5,"11,127"
3037 欣興,2025/12/26,218.5,224,216.5,220.5,"16,204"
3037 欣興,2025/12/24,218.5,220.5,215,217,"13,473"
3037 欣興,2025/12/23,220,220,214.5,215.5,"15,591"
3037 欣興,2025/12/22,219.5,221,213,220.5,"25,048"
3037 欣興,2025/12/19,211,216.5,209,215,"26,149"
3037 欣興,2025/12/18,209,213,204.5,207,"18,715"
3037 欣興,2025/12/17,220,221,211.5,212,"21,114"
3037 欣興,2025/12/16,220,221,211.5,214,"23,424"
3037 欣興,2025/12/15,220,224.5,219.5,221.5,"12,347"
3037 欣興,2025/12/12,228,229.5,222,225,"19,839"
3037 欣興,2025/12/11,230,235,224.5,225,"36,200"
3037 欣興,2025/12/10,227.5,230,222.5,227.5,"36,724"
3037 欣興,2025/12/9,221.5,234,221.5,226,"72,841"
3037 欣興,2025/12/8,215.5,224,212,220.5,"53,880"
3037 欣興,2025/12/5,202.5,218,201.5,215,"80,682"
3037 欣興,2025/12/4,197,204,197,198.5,"34,051"
3037 欣興,2025/12/3,197,203,195,196.5,"30,774"
3037 欣興,2025/12/2,200,204,194.5,196,"43,927"
3037 欣興,2025/12/1,190,201,190,197,"71,599"
3037 欣興,2025/11/28,187.5,188,184,186.5,"20,954"
3037 欣興,2025/11/27,179,189.5,178,187,"55,318"
3037 欣興,2025/11/26,175,183,174,178.5,"51,502"
3037 欣興,2025/11/25,168,178,166.5,176,"45,898"
3037 欣興,2025/11/24,163,164,157.5,164,"25,032"
3037 欣興,2025/11/21,163.5,165.5,158,160,"34,009"
3037 欣興,2025/11/20,166.5,175,166.5,171.5,"28,955"
3037 欣興,2025/11/19,164,165.5,160,160.5,"38,610"
3037 欣興,2025/11/18,167.5,179,167.5,170,"50,213"
3037 欣興,2025/11/17,174,177,167.5,167.5,"19,686"
3037 欣興,2025/11/14,172.5,175.5,168.5,171.5,"23,311"
3037 欣興,2025/11/13,168.752,178.1546,168.2572,176.67,"48,910"
3037 欣興,2025/11/12,166.2777,171.2264,165.2879,165.7828,"16,832"
3037 欣興,2025/11/11,164.2982,168.2572,162.3187,164.793,"17,169"
3037 欣興,2025/11/10,160.8341,164.793,156.3802,162.8135,"23,211"
3037 欣興,2025/11/7,162.3187,164.2982,158.3597,159.8443,"13,676"
3037 欣興,2025/11/6,165.7828,165.7828,160.3392,163.8033,"20,317"
3037 欣興,2025/11/5,161.8238,164.2982,159.3494,162.3187,"31,267"
3037 欣興,2025/11/4,175.1854,175.6803,166.2777,166.7725,"52,986"
3037 欣興,2025/11/3,166.2777,177.6598,165.2879,176.67,"90,228"
3037 欣興,2025/10/31,159.8443,167.2674,158.8546,161.8238,"20,577"
3037 欣興,2025/10/30,166.2777,167.2674,157.3699,158.3597,"23,973"
3037 欣興,2025/10/29,162.8135,165.2879,160.3392,164.2982,"22,661"
3037 欣興,2025/10/28,161.3289,161.8238,156.3802,160.8341,"17,893"
3037 欣興,2025/10/27,159.8443,163.8033,159.3494,161.8238,"27,029"
3037 欣興,2025/10/23,155.8853,158.3597,153.4109,154.4007,"14,103"
3037 欣興,2025/10/22,158.8546,160.3392,155.8853,157.3699,"13,392"
3037 欣興,2025/10/21,159.3494,161.3289,157.8648,158.3597,"18,055"
3037 欣興,2025/10/20,161.3289,161.8238,156.8751,158.3597,"16,913"
3037 欣興,2025/10/17,163.8033,164.2982,158.8546,158.8546,"24,087"
3037 欣興,2025/10/16,158.3597,166.2777,158.3597,163.8033,"66,717"
3037 欣興,2025/10/15,146.9776,157.8648,146.9776,156.8751,"40,885"
3037 欣興,2025/10/14,153.9058,155.8853,144.5032,144.5032,"24,470"
3037 欣興,2025/10/13,149.4519,152.9161,148.9571,151.9263,"31,538"
3037 欣興,2025/10/9,159.3494,165.7828,158.8546,159.3494,"49,101"
3037 欣興,2025/10/8,154.4007,158.8546,152.4212,158.3597,"15,608"
3037 欣興,2025/10/7,158.3597,159.3494,155.3904,156.3802,"18,875"
3037 欣興,2025/10/3,152.4212,155.3904,151.4314,154.4007,"18,510"
3037 欣興,2025/10/2,155.3904,155.8853,149.4519,151.4314,"19,461"
3037 欣興,2025/10/1,151.4314,157.8648,150.4417,153.4109,"19,127"
3037 欣興,2025/9/30,150.9366,151.4314,148.9571,149.9468,"12,365"
3037 欣興,2025/9/26,153.9058,154.8956,146.4827,147.4725,"22,663"
3037 欣興,2025/9/25,154.8956,157.8648,153.4109,155.3904,"18,732"
3037 欣興,2025/9/24,157.8648,158.3597,152.9161,155.3904,"22,247"
3037 欣興,2025/9/23,158.3597,163.3084,157.3699,157.3699,"49,227"
3037 欣興,2025/9/22,157.3699,157.8648,154.8956,156.8751,"28,067"
3037 欣興,2025/9/19,153.4109,159.8443,152.9161,155.8853,"77,040"
3037 欣興,2025/9/18,148.4622,148.4622,143.5135,146.9776,"27,918"
3037 欣興,2025/9/17,150.4417,150.4417,145.493,145.9878,"22,731"
3037 欣興,2025/9/16,142.5237,151.4314,141.0391,150.4417,"64,156"
3037 欣興,2025/9/15,144.0083,144.0083,140.0493,140.5442,"12,585"
3037 欣興,2025/9/12,144.0083,145.9878,142.0288,143.0186,"29,762"
3037 欣興,2025/9/11,143.0186,144.9981,140.0493,141.0391,"36,645"
3037 欣興,2025/9/10,135.5955,141.534,133.616,140.0493,"34,188"
3037 欣興,2025/9/9,133.616,134.6057,132.1314,133.616,"9,786"
3037 欣興,2025/9/8,133.616,134.1109,129.1621,132.1314,"18,119"
3037 欣興,2025/9/5,134.6057,136.0904,131.6365,132.6262,"16,038"
3037 欣興,2025/9/4,133.1211,134.1109,130.6467,132.1314,"18,638"
3037 欣興,2025/9/3,130.6467,131.6365,129.657,131.1416,"15,310"
3037 欣興,2025/9/2,133.616,134.1109,128.1724,129.657,"30,783"
3037 欣興,2025/9/1,142.0288,142.5237,131.6365,133.1211,"45,628"
3037 欣興,2025/8/29,150.9366,151.9263,143.0186,143.0186,"45,478"
3037 欣興,2025/8/28,149.9468,151.9263,145.493,148.4622,"56,299"
3037 欣興,2025/8/27,144.0083,150.4417,143.5135,150.4417,"78,875"
3037 欣興,2025/8/26,139.5545,144.5032,138.5647,140.5442,"55,622"
3037 欣興,2025/8/25,136.5852,139.0596,136.5852,138.5647,"26,238"
3037 欣興,2025/8/22,132.6262,134.1109,131.1416,133.616,"12,823"
3037 欣興,2025/8/21,131.1416,134.1109,131.1416,132.1314,"18,224"
3037 欣興,2025/8/20,135.5955,137.575,131.6365,132.1314,"28,473"
3037 欣興,2025/8/19,142.5237,144.0083,137.0801,137.575,"32,549"
3037 欣興,2025/8/18,132.6262,141.0391,132.6262,140.5442,"53,936"
3037 欣興,2025/8/15,138.0698,140.5442,133.616,134.1109,"29,696"
3037 欣興,2025/8/14,138.5647,143.0186,136.0904,136.5852,"31,770"
3037 欣興,2025/8/13,139.0596,140.5442,134.6057,136.5852,"28,204"
3037 欣興,2025/8/12,141.0391,141.0391,136.5852,137.0801,"21,474"
3037 欣興,2025/8/11,136.5852,141.534,136.0904,141.0391,"38,683"
3037 欣興,2025/8/8,135.1006,137.0801,135.1006,135.5955,"15,522"
3037 欣興,2025/8/7,135.1006,137.575,134.1109,134.6057,"20,357"
3037 欣興,2025/8/6,134.1109,134.6057,132.1314,132.6262,"17,282"
3037 欣興,2025/8/5,135.1006,137.575,134.1109,134.1109,"17,520"
3037 欣興,2025/8/4,135.1006,135.5955,133.616,133.616,"19,078"
3037 欣興,2025/8/1,132.1314,139.5545,131.6365,137.0801,"33,207"
3037 欣興,2025/7/31,137.575,138.0698,135.1006,136.0904,"45,007"
3037 欣興,2025/7/30,140.5442,141.0391,135.1006,140.5442,"58,375"
3037 欣興,2025/7/29,136.5852,143.5135,136.0904,138.5647,"114,489"
3037 欣興,2025/7/28,131.1416,133.1211,130.1519,131.6365,"22,930"
