證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2454 聯發科,2015/1/5,261.1061,265.0795,261.1061,262.2414,"2,482"
2454 聯發科,2015/1/6,261.1061,262.2414,259.9709,259.9709,"5,925"
2454 聯發科,2015/1/7,265.6471,276.4319,264.7957,276.1481,"13,142"
2454 聯發科,2015/1/8,279.5538,280.6891,275.0129,275.2967,"8,682"
2454 聯發科,2015/1/9,279.27,280.9729,276.9995,276.9995,"7,745"
2454 聯發科,2015/1/12,278.1348,280.6891,276.1481,276.9995,"4,586"
2454 聯發科,2015/1/13,275.2967,276.9995,273.0262,274.1614,"4,420"
2454 聯發科,2015/1/14,277.2833,279.27,275.0129,276.9995,"7,120"
2454 聯發科,2015/1/15,276.9995,278.1348,274.4452,275.8643,"4,228"
2454 聯發科,2015/1/16,274.4452,275.5805,269.3366,269.9043,"5,550"
2454 聯發科,2015/1/19,273.8776,277.5672,272.1747,276.4319,"5,055"
2454 聯發科,2015/1/20,276.9995,278.1348,274.729,278.1348,"3,824"
2454 聯發科,2015/1/21,279.8376,280.9729,279.5538,280.1215,"5,342"
2454 聯發科,2015/1/22,281.5405,282.6758,278.9862,281.2567,"5,462"
2454 聯發科,2015/1/23,282.9596,283.811,278.9862,280.6891,"5,250"
2454 聯發科,2015/1/26,280.4053,286.6491,280.4053,286.0815,"6,909"
2454 聯發科,2015/1/27,286.0815,286.0815,282.9596,284.9462,"5,026"
2454 聯發科,2015/1/28,284.9462,286.0815,282.9596,284.9462,"2,763"
2454 聯發科,2015/1/29,282.1081,283.5272,279.8376,282.3919,"3,143"
2454 聯發科,2015/1/30,282.3919,282.6758,274.1614,274.1614,"7,517"
2454 聯發科,2015/2/2,277.5672,277.5672,272.4586,273.8776,"3,747"
2454 聯發科,2015/2/3,273.8776,277.5672,272.7424,275.2967,"3,275"
2454 聯發科,2015/2/4,279.27,280.1215,274.729,275.2967,"4,598"
2454 聯發科,2015/2/5,277.2833,278.9862,274.4452,275.2967,"4,330"
2454 聯發科,2015/2/6,276.4319,277.2833,270.1881,271.8909,"4,600"
2454 聯發科,2015/2/9,275.5805,278.1348,272.7424,276.9995,"5,251"
2454 聯發科,2015/2/10,257.7004,257.7004,257.7004,257.7004,"10,301"
2454 聯發科,2015/2/11,246.9156,258.268,246.3479,257.7004,"33,943"
2454 聯發科,2015/2/12,258.8356,260.2547,257.4166,259.9709,"8,420"
2454 聯發科,2015/2/13,259.9709,261.1061,258.8356,260.5385,"6,058"
2454 聯發科,2015/2/24,265.6471,268.4852,262.2414,266.7823,"16,722"
2454 聯發科,2015/2/25,268.4852,270.1881,267.0662,268.769,"5,802"
2454 聯發科,2015/2/26,270.1881,270.1881,267.0662,268.4852,"7,115"
2454 聯發科,2015/3/2,270.1881,270.7557,269.0528,270.7557,"5,540"
2454 聯發科,2015/3/3,271.8909,272.4586,268.4852,271.6071,"3,859"
2454 聯發科,2015/3/4,271.3233,272.4586,269.6205,269.9043,"4,154"
2454 聯發科,2015/3/5,271.3233,271.3233,269.3366,269.9043,"5,255"
2454 聯發科,2015/3/6,267.0662,268.4852,265.0795,267.0662,"8,090"
2454 聯發科,2015/3/9,263.9442,265.0795,260.5385,261.1061,"8,322"
2454 聯發科,2015/3/10,258.8356,262.5252,258.8356,261.1061,"7,335"
2454 聯發科,2015/3/11,258.268,259.6871,257.4166,257.4166,"6,216"
2454 聯發科,2015/3/12,255.1461,260.2547,254.8623,257.4166,"6,251"
2454 聯發科,2015/3/13,259.9709,259.9709,254.2947,254.2947,"6,118"
2454 聯發科,2015/3/16,252.308,253.1594,245.2127,245.2127,"13,745"
2454 聯發科,2015/3/17,244.0775,246.9156,241.807,244.0775,"13,175"
2454 聯發科,2015/3/18,245.7803,250.6051,245.2127,247.1994,"9,847"
2454 聯發科,2015/3/19,248.6184,250.0375,246.3479,246.3479,"6,417"
2454 聯發科,2015/3/20,244.0775,250.8889,244.0775,247.4832,"10,080"
2454 聯發科,2015/3/23,248.9022,250.3213,247.1994,248.9022,"7,076"
2454 聯發科,2015/3/24,250.3213,255.9975,249.1861,253.1594,"11,759"
2454 聯發科,2015/3/25,255.4299,257.1328,249.4699,251.4565,"9,007"
2454 聯發科,2015/3/26,246.9156,250.0375,245.2127,249.7537,"11,992"
2454 聯發科,2015/3/27,246.9156,248.0508,236.9822,237.8336,"15,619"
2454 聯發科,2015/3/30,239.2527,240.1041,235.8469,237.266,"9,180"
2454 聯發科,2015/3/31,241.2394,242.0908,238.4012,240.3879,"7,129"
2454 聯發科,2015/4/1,241.807,241.807,236.4146,238.1174,"5,410"
2454 聯發科,2015/4/2,237.5498,238.9689,232.1574,233.8603,"10,015"
2454 聯發科,2015/4/7,233.8603,239.8203,233.8603,238.9689,"14,746"
2454 聯發科,2015/4/8,242.0908,242.0908,237.266,238.9689,"8,154"
2454 聯發科,2015/4/9,241.807,242.6584,238.9689,239.5365,"6,217"
2454 聯發科,2015/4/10,243.5098,243.5098,238.4012,239.2527,"7,576"
2454 聯發科,2015/4/13,238.4012,239.5365,237.266,238.1174,"4,214"
2454 聯發科,2015/4/14,238.4012,238.6851,234.9955,235.5631,"8,334"
2454 聯發科,2015/4/15,232.725,233.2926,226.1974,226.1974,"14,709"
2454 聯發科,2015/4/16,227.6164,232.4412,227.6164,232.1574,"15,694"
2454 聯發科,2015/4/17,229.3193,230.4545,227.3326,227.6164,"8,433"
2454 聯發科,2015/4/20,225.3459,227.6164,221.3726,221.3726,"9,906"
2454 聯發科,2015/4/21,221.9402,225.0621,221.9402,221.9402,"8,698"
2454 聯發科,2015/4/22,223.0754,229.3193,223.0754,228.184,"9,605"
2454 聯發科,2015/4/23,229.3193,231.306,228.184,228.7517,"7,141"
2454 聯發科,2015/4/24,230.4545,242.0908,230.4545,237.8336,"15,978"
2454 聯發科,2015/4/27,237.8336,240.6717,232.725,233.0088,"7,463"
2454 聯發科,2015/4/28,235.5631,235.5631,226.1974,226.4812,"10,064"
2454 聯發科,2015/4/29,227.6164,230.4545,227.0488,227.3326,"5,136"
2454 聯發科,2015/4/30,224.2107,226.765,223.3593,224.2107,"9,247"
2454 聯發科,2015/5/4,210.5878,218.5345,210.5878,215.6964,"17,071"
2454 聯發科,2015/5/5,214.5611,217.3992,210.5878,212.5744,"9,648"
2454 聯發科,2015/5/6,211.723,213.9935,208.8849,210.0201,"8,690"
2454 聯發科,2015/5/7,209.4525,210.8716,207.7497,209.1687,"9,283"
2454 聯發科,2015/5/8,209.4525,215.4125,209.4525,213.7097,"8,515"
2454 聯發科,2015/5/11,216.8316,216.8316,210.0201,210.0201,"6,205"
2454 聯發科,2015/5/12,211.723,212.8583,210.5878,210.8716,"5,826"
2454 聯發科,2015/5/13,215.1287,225.6297,213.4259,225.6297,"15,217"
2454 聯發科,2015/5/14,225.6297,228.184,223.0754,223.0754,"12,642"
2454 聯發科,2015/5/15,225.9136,228.7517,221.3726,221.3726,"5,322"
2454 聯發科,2015/5/18,221.3726,226.765,220.2373,222.224,"7,039"
2454 聯發科,2015/5/19,222.5078,224.2107,220.2373,222.5078,"6,497"
2454 聯發科,2015/5/20,224.2107,227.9002,224.2107,226.765,"8,336"
2454 聯發科,2015/5/21,225.0621,229.0355,224.7783,227.0488,"7,315"
2454 聯發科,2015/5/22,229.8869,233.8603,228.7517,232.725,"8,993"
2454 聯發科,2015/5/25,230.1707,232.1574,225.0621,225.6297,"6,774"
2454 聯發科,2015/5/26,227.6164,228.7517,225.9136,226.765,"3,161"
2454 聯發科,2015/5/27,226.765,228.7517,226.765,227.0488,"4,852"
2454 聯發科,2015/5/28,232.725,233.8603,230.4545,232.1574,"9,060"
2454 聯發科,2015/5/29,232.725,235.2793,232.725,235.2793,"11,101"
2454 聯發科,2015/6/1,237.266,237.266,231.0222,232.725,"5,005"
2454 聯發科,2015/6/2,234.1441,235.2793,231.5898,232.725,"5,387"
2454 聯發科,2015/6/3,233.2926,235.8469,232.4412,232.725,"3,685"
2454 聯發科,2015/6/4,232.725,232.725,228.7517,228.7517,"6,034"
