證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2308 台達電,2025/12/31,959,974,950,963,"9,297"
2308 台達電,2025/12/30,964,970,957,961,"4,664"
2308 台達電,2025/12/29,960,974,960,962,"6,436"
2308 台達電,2025/12/26,960,962,952,956,"3,406"
2308 台達電,2025/12/24,952,960,948,955,"5,165"
2308 台達電,2025/12/23,962,965,943,943,"6,033"
2308 台達電,2025/12/22,911,957,909,953,"14,176"
2308 台達電,2025/12/19,899,923,895,911,"13,809"
2308 台達電,2025/12/18,889,896,886,891,"6,718"
2308 台達電,2025/12/17,900,907,890,890,"14,101"
2308 台達電,2025/12/16,908,915,899,901,"11,299"
2308 台達電,2025/12/15,917,933,916,922,"7,161"
2308 台達電,2025/12/12,945,948,929,938,"9,967"
2308 台達電,2025/12/11,970,976,945,945,"12,453"
2308 台達電,2025/12/10,973,978,965,968,"6,353"
2308 台達電,2025/12/9,976,980,966,971,"7,892"
2308 台達電,2025/12/8,985,993,970,979,"5,977"
2308 台達電,2025/12/5,998,"1,005",973,979,"9,899"
2308 台達電,2025/12/4,999,"1,005",991,999,"6,988"
2308 台達電,2025/12/3,997,"1,005",984,997,"12,779"
2308 台達電,2025/12/2,988,998,974,989,"20,318"
2308 台達電,2025/12/1,936,978,932,973,"17,532"
2308 台達電,2025/11/28,946,946,928,932,"8,363"
2308 台達電,2025/11/27,955,959,938,942,"8,820"
2308 台達電,2025/11/26,928,950,916,945,"11,426"
2308 台達電,2025/11/25,913,926,899,910,"10,504"
2308 台達電,2025/11/24,904,909,893,893,"18,856"
2308 台達電,2025/11/21,907,913,895,895,"17,544"
2308 台達電,2025/11/20,939,965,934,954,"16,670"
2308 台達電,2025/11/19,890,911,889,894,"12,208"
2308 台達電,2025/11/18,906,930,898,898,"13,615"
2308 台達電,2025/11/17,931,946,916,916,"11,523"
2308 台達電,2025/11/14,938,945,922,922,"19,610"
2308 台達電,2025/11/13,965,973,958,958,"11,148"
2308 台達電,2025/11/12,965,981,954,967,"14,451"
2308 台達電,2025/11/11,993,998,972,972,"11,380"
2308 台達電,2025/11/10,980,994,968,982,"11,544"
2308 台達電,2025/11/7,960,972,956,965,"9,673"
2308 台達電,2025/11/6,980,994,977,978,"10,520"
2308 台達電,2025/11/5,930,972,930,967,"18,127"
2308 台達電,2025/11/4,980,"1,010",975,975,"18,976"
2308 台達電,2025/11/3,992,"1,005",982,983,"16,545"
2308 台達電,2025/10/31,"1,000","1,015",990,995,"21,049"
2308 台達電,2025/10/30,"1,070","1,070","1,005","1,010","23,687"
2308 台達電,2025/10/29,"1,075","1,085","1,035","1,060","13,037"
2308 台達電,2025/10/28,"1,060","1,080","1,055","1,075","9,123"
2308 台達電,2025/10/27,"1,035","1,075","1,035","1,070","14,665"
2308 台達電,2025/10/23,"1,005","1,020","1,000","1,010","5,326"
2308 台達電,2025/10/22,"1,005","1,020","1,000","1,020","5,842"
2308 台達電,2025/10/21,"1,015","1,030","1,000","1,020","7,996"
2308 台達電,2025/10/20,998,"1,020",986,"1,015","12,374"
2308 台達電,2025/10/17,"1,005","1,050",996,999,"12,958"
2308 台達電,2025/10/16,"1,005","1,025","1,000","1,025","7,987"
2308 台達電,2025/10/15,"1,000","1,015",987,"1,015","13,304"
2308 台達電,2025/10/14,"1,050","1,060",990,992,"21,048"
2308 台達電,2025/10/13,968,"1,045",968,"1,030","24,052"
2308 台達電,2025/10/9,"1,000","1,005",986,999,"15,540"
2308 台達電,2025/10/8,963,985,962,981,"12,278"
2308 台達電,2025/10/7,942,995,941,987,"25,946"
2308 台達電,2025/10/3,900,944,895,942,"18,806"
2308 台達電,2025/10/2,893,910,893,894,"18,926"
2308 台達電,2025/10/1,870,878,860,871,"10,214"
2308 台達電,2025/9/30,852,888,851,854,"17,397"
2308 台達電,2025/9/26,867,869,837,848,"20,674"
2308 台達電,2025/9/25,886,903,883,884,"12,323"
2308 台達電,2025/9/24,888,893,866,891,"16,745"
2308 台達電,2025/9/23,913,917,890,893,"18,003"
2308 台達電,2025/9/22,880,915,880,907,"14,838"
2308 台達電,2025/9/19,894,909,885,888,"20,690"
2308 台達電,2025/9/18,837,899,837,892,"22,541"
2308 台達電,2025/9/17,840,853,831,836,"10,464"
2308 台達電,2025/9/16,833,841,821,841,"15,636"
2308 台達電,2025/9/15,842,848,829,836,"12,384"
2308 台達電,2025/9/12,834,854,834,837,"20,358"
2308 台達電,2025/9/11,825,853,825,831,"27,598"
2308 台達電,2025/9/10,807,844,806,837,"23,938"
2308 台達電,2025/9/9,729,798,728,784,"21,560"
2308 台達電,2025/9/8,745,745,726,726,"11,437"
2308 台達電,2025/9/5,720,726,711,726,"15,305"
2308 台達電,2025/9/4,689,705,685,691,"10,307"
2308 台達電,2025/9/3,683,687,675,680,"12,034"
2308 台達電,2025/9/2,698,704,678,685,"11,619"
2308 台達電,2025/9/1,706,724,678,688,"14,583"
2308 台達電,2025/8/29,709,718,705,711,"11,303"
2308 台達電,2025/8/28,717,717,705,709,"9,102"
2308 台達電,2025/8/27,690,730,687,720,"16,908"
2308 台達電,2025/8/26,675,685,672,685,"10,452"
2308 台達電,2025/8/25,680,685,667,676,"9,894"
2308 台達電,2025/8/22,668,672,658,664,"10,490"
2308 台達電,2025/8/21,620,655,619,648,"18,904"
2308 台達電,2025/8/20,628,657,624,625,"28,902"
2308 台達電,2025/8/19,683,691,660,661,"14,089"
2308 台達電,2025/8/18,690,695,681,688,"12,689"
2308 台達電,2025/8/15,670,695,669,686,"14,869"
2308 台達電,2025/8/14,667,675,663,670,"12,068"
2308 台達電,2025/8/13,665,681,662,675,"24,961"
2308 台達電,2025/8/12,642,649,636,642,"9,218"
2308 台達電,2025/8/11,635,643,628,638,"9,330"
2308 台達電,2025/8/8,626,637,626,637,"12,644"
2308 台達電,2025/8/7,623,633,618,623,"16,072"
2308 台達電,2025/8/6,607,632,605,621,"21,267"
2308 台達電,2025/8/5,600,636,600,632,"21,914"
2308 台達電,2025/8/4,579,594,578,593,"11,421"
2308 台達電,2025/8/1,558,597,556,588,"25,566"
2308 台達電,2025/7/31,581,582,561,567,"14,649"
2308 台達電,2025/7/30,528,533,520,530,"7,999"
2308 台達電,2025/7/29,520,529,516,525,"7,871"
2308 台達電,2025/7/28,524,529,520,522,"7,360"
2308 台達電,2025/7/25,512,518,508,517,"9,488"
2308 台達電,2025/7/24,515,519,508,518,"9,392"
2308 台達電,2025/7/23,517,527,517,520,"11,013"
2308 台達電,2025/7/22,515,533,508,513,"14,393"
2308 台達電,2025/7/21,513,517,511,515,"9,787"
2308 台達電,2025/7/18,499,509,499,509,"7,404"
2308 台達電,2025/7/17,494,503,490,499,"10,285"
2308 台達電,2025/7/16,500,513,495.5,500,"23,980"
2308 台達電,2025/7/15,483,496,480,494,"17,023"
2308 台達電,2025/7/14,478.5,482.5,472.5,473,"7,066"
2308 台達電,2025/7/11,471,491.5,471,483,"13,782"
2308 台達電,2025/7/10,458,485.5,458,482.5,"23,205"
2308 台達電,2025/7/9,442,452,440,451,"11,927"
2308 台達電,2025/7/8,450,455,446.5,451.5,"10,914"
2308 台達電,2025/7/7,452,458.5,448,450,"9,170"
2308 台達電,2025/7/4,451.5,461.5,450.5,457,"15,179"
2308 台達電,2025/7/3,431.5,460,431,459,"23,036"
2308 台達電,2025/7/2,421.5,434.5,421,429.5,"7,070"
2308 台達電,2025/7/1,417,432.5,417,428,"10,597"
2308 台達電,2025/6/30,420.5,425,413,413,"5,401"
2308 台達電,2025/6/27,421,426.5,419.5,424,"7,476"
2308 台達電,2025/6/26,422.5,424.5,418,420,"7,443"
2308 台達電,2025/6/25,420,428.5,420,423.5,"11,484"
2308 台達電,2025/6/24,402,418,402,417,"11,800"
2308 台達電,2025/6/23,396,403,396,400,"6,204"
2308 台達電,2025/6/20,402,406,398.5,400,"20,098"
2308 台達電,2025/6/19,400.5,408,400.5,404,"9,561"
2308 台達電,2025/6/18,395,402,394,400.5,"5,709"
2308 台達電,2025/6/17,395,398.5,393,395,"7,050"
2308 台達電,2025/6/16,391.0438,393.9913,389.57,393.5001,"5,098"
2308 台達電,2025/6/13,388.0962,395.4651,386.6224,391.0438,"6,341"
2308 台達電,2025/6/12,398.4127,398.4127,392.0263,392.5175,"4,870"
2308 台達電,2025/6/11,394.9738,396.9389,389.57,394.9738,"6,507"
2308 台達電,2025/6/10,391.0438,396.4476,391.0438,394.9738,"7,200"
