證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2330 台積電,2025/12/31,"1,515.05","1,544.95","1,510.07","1,544.95","31,389"
2330 台積電,2025/12/30,"1,510.07","1,525.02","1,505.08","1,515.05","21,819"
2330 台積電,2025/12/29,"1,510.07","1,525.02","1,505.08","1,525.02","24,010"
2330 台積電,2025/12/26,"1,500.10","1,505.08","1,490.13","1,505.08","20,806"
2330 台積電,2025/12/24,"1,490.13","1,495.11","1,480.16","1,490.13","13,707"
2330 台積電,2025/12/23,"1,470.20","1,485.15","1,465.21","1,485.15","22,337"
2330 台積電,2025/12/22,"1,460.23","1,465.21","1,450.26","1,460.23","23,919"
2330 台積電,2025/12/19,"1,450.26","1,450.26","1,425.34","1,425.34","42,614"
2330 台積電,2025/12/18,"1,415.38","1,430.33","1,410.39","1,425.34","33,103"
2330 台積電,2025/12/17,"1,430.33","1,440.29","1,420.36","1,425.34","33,103"
2330 台積電,2025/12/16,"1,430.33","1,440.29","1,420.36","1,430.33","36,751"
2330 台積電,2025/12/15,"1,445.28","1,450.26","1,440.29","1,445.28","28,160"
2330 台積電,2025/12/12,"1,470.20","1,480.16","1,465.21","1,475.18","24,025"
2330 台積電,2025/12/11,"1,505.08","1,510.07","1,460.23","1,465.21","31,820"
2330 台積電,2025/12/10,"1,480.20","1,495.10","1,475.24","1,495.10","26,387"
2330 台積電,2025/12/9,"1,485.17","1,490.14","1,470.27","1,470.27","27,555"
2330 台積電,2025/12/8,"1,455.37","1,485.17","1,450.40","1,485.17","27,405"
2330 台積電,2025/12/5,"1,435.50","1,450.40","1,430.53","1,450.40","22,539"
2330 台積電,2025/12/4,"1,435.50","1,440.47","1,420.60","1,435.50","21,934"
2330 台積電,2025/12/3,"1,430.53","1,440.47","1,425.56","1,440.47","25,462"
2330 台積電,2025/12/2,"1,420.60","1,430.53","1,410.66","1,420.60","27,923"
2330 台積電,2025/12/1,"1,435.50","1,435.50","1,400.73","1,400.73","33,722"
2330 台積電,2025/11/28,"1,430.53","1,445.43","1,425.56","1,430.53","26,130"
2330 台積電,2025/11/27,"1,440.47","1,445.43","1,420.60","1,425.56","24,202"
2330 台積電,2025/11/26,"1,420.60","1,430.53","1,415.63","1,430.53","31,659"
2330 台積電,2025/11/25,"1,415.63","1,415.63","1,395.76","1,405.70","31,006"
2330 台積電,2025/11/24,"1,390.79","1,395.76","1,365.96","1,365.96","88,861"
2330 台積電,2025/11/21,"1,385.83","1,395.76","1,375.89","1,375.89","64,673"
2330 台積電,2025/11/20,"1,440.47","1,450.40","1,430.53","1,445.43","28,295"
2330 台積電,2025/11/19,"1,390.79","1,405.70","1,385.83","1,385.83","42,661"
2330 台積電,2025/11/18,"1,425.56","1,425.56","1,395.76","1,395.76","49,856"
2330 台積電,2025/11/17,"1,440.47","1,450.40","1,435.50","1,435.50","34,872"
2330 台積電,2025/11/14,"1,415.63","1,430.53","1,415.63","1,420.60","32,778"
2330 台積電,2025/11/13,"1,450.40","1,460.33","1,450.40","1,450.40","23,920"
2330 台積電,2025/11/12,"1,460.33","1,475.24","1,450.40","1,465.30","25,998"
2330 台積電,2025/11/11,"1,480.20","1,485.17","1,455.37","1,455.37","24,857"
2330 台積電,2025/11/10,"1,460.33","1,475.23","1,455.37","1,465.30","26,579"
2330 台積電,2025/11/7,"1,450.40","1,455.37","1,445.43","1,450.40","23,551"
2330 台積電,2025/11/6,"1,460.33","1,470.27","1,455.37","1,455.37","29,955"
2330 台積電,2025/11/5,"1,470.27","1,475.23","1,445.43","1,450.40","63,423"
2330 台積電,2025/11/4,"1,510.00","1,514.97","1,485.17","1,495.10","35,922"
2330 台積電,2025/11/3,"1,500.07","1,510.00","1,480.20","1,500.07","30,913"
2330 台積電,2025/10/31,"1,505.04","1,514.97","1,490.14","1,490.14","33,838"
2330 台積電,2025/10/30,"1,505.04","1,510.00","1,490.14","1,495.10","30,058"
2330 台積電,2025/10/29,"1,485.17","1,505.04","1,480.20","1,495.10","32,775"
2330 台積電,2025/10/28,"1,470.27","1,480.20","1,460.33","1,465.30","35,135"
2330 台積電,2025/10/27,"1,490.14","1,490.14","1,470.27","1,470.27","36,024"
