證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2303 聯電,2025/12/31,49.6,49.7,49.05,49.25,"25,921"
2303 聯電,2025/12/30,49.5,50,49.35,49.5,"26,508"
2303 聯電,2025/12/29,49.95,49.95,49.4,49.65,"24,205"
2303 聯電,2025/12/26,49.85,50.1,49.55,49.95,"40,876"
2303 聯電,2025/12/24,49.9,50,49.3,49.65,"47,846"
2303 聯電,2025/12/23,51,51,49.65,50,"46,416"
2303 聯電,2025/12/22,51,51.1,50.4,50.9,"65,904"
2303 聯電,2025/12/19,50.3,50.7,50.1,50.7,"68,294"
2303 聯電,2025/12/18,50.2,50.7,49.7,50.3,"62,841"
2303 聯電,2025/12/17,49.45,50.9,49.3,50.4,"121,851"
2303 聯電,2025/12/16,48.75,49.2,47.9,49.2,"83,189"
2303 聯電,2025/12/15,48.4,48.85,48.2,48.85,"43,378"
2303 聯電,2025/12/12,48.65,48.9,48.3,48.8,"41,378"
2303 聯電,2025/12/11,49.55,49.6,48,48.65,"42,523"
2303 聯電,2025/12/10,49.75,49.75,49,49.35,"42,738"
2303 聯電,2025/12/9,49.7,49.9,48.7,49.6,"43,805"
2303 聯電,2025/12/8,49.75,50,48.45,49.3,"66,870"
2303 聯電,2025/12/5,48.05,49.3,48,48.9,"83,118"
2303 聯電,2025/12/4,48,48.25,47.85,48,"46,139"
2303 聯電,2025/12/3,47.65,48.3,47.35,47.5,"48,743"
2303 聯電,2025/12/2,46.55,47.6,46.5,47.2,"46,427"
2303 聯電,2025/12/1,45.8,46.6,45.8,46.5,"40,233"
2303 聯電,2025/11/28,45.5,46,45.2,45.8,"24,694"
2303 聯電,2025/11/27,45.3,45.95,45.2,45.95,"31,977"
2303 聯電,2025/11/26,45.5,45.85,44.85,45.45,"37,443"
2303 聯電,2025/11/25,46.05,46.1,45.05,45.1,"48,758"
2303 聯電,2025/11/24,45.45,46.55,45,46.55,"102,019"
2303 聯電,2025/11/21,44.2,45,44.2,45,"36,002"
2303 聯電,2025/11/20,44.9,45,44.25,44.65,"34,080"
2303 聯電,2025/11/19,44.3,45.2,44,44.35,"36,291"
2303 聯電,2025/11/18,44.3,44.4,43.8,44.2,"37,694"
2303 聯電,2025/11/17,44.05,44.35,43.8,43.85,"24,924"
2303 聯電,2025/11/14,44.35,44.85,44.15,44.15,"33,061"
2303 聯電,2025/11/13,45,45.15,44.45,44.45,"39,804"
2303 聯電,2025/11/12,45.2,45.55,44.9,45,"33,091"
2303 聯電,2025/11/11,45.6,46,45.2,45.25,"29,572"
2303 聯電,2025/11/10,45.5,45.65,45.05,45.2,"23,076"
2303 聯電,2025/11/7,45.5,45.6,44.9,45,"33,482"
2303 聯電,2025/11/6,47.75,47.75,45.8,45.8,"60,793"
2303 聯電,2025/11/5,47.1,47.1,45.75,47.1,"48,895"
2303 聯電,2025/11/4,48.75,48.75,47.15,47.4,"65,466"
2303 聯電,2025/11/3,47,48.5,46.8,47.6,"96,761"
2303 聯電,2025/10/31,46.2,46.85,46,46.4,"50,967"
2303 聯電,2025/10/30,45.6,46.2,44.8,45.85,"55,850"
2303 聯電,2025/10/29,46.25,46.25,45.6,45.6,"28,822"
2303 聯電,2025/10/28,46,46.25,45.8,46,"44,913"
2303 聯電,2025/10/27,46.05,46.45,45.6,45.6,"44,626"
2303 聯電,2025/10/23,45.5,45.5,45.05,45.4,"15,649"
2303 聯電,2025/10/22,45.4,45.7,45.1,45.5,"23,785"
2303 聯電,2025/10/21,46.2,46.3,45.45,45.45,"26,102"
