證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
3711 日月光投控,2025/12/31,247.5,255,246,250.5,"18,701"
3711 日月光投控,2025/12/30,249.5,251,244,249,"15,115"
3711 日月光投控,2025/12/29,245,253,240,251,"25,589"
3711 日月光投控,2025/12/26,235,240.5,233.5,240.5,"17,100"
3711 日月光投控,2025/12/24,237,237.5,230.5,234.5,"19,221"
3711 日月光投控,2025/12/23,232,236,231.5,234.5,"16,419"
3711 日月光投控,2025/12/22,234,235,231,232,"16,911"
3711 日月光投控,2025/12/19,227.5,229.5,224.5,229.5,"23,088"
3711 日月光投控,2025/12/18,223,224.5,219.5,222,"16,464"
3711 日月光投控,2025/12/17,226,230.5,226,228.5,"14,265"
3711 日月光投控,2025/12/16,231,234.5,226,229,"23,224"
3711 日月光投控,2025/12/15,237.5,237.5,232.5,234,"18,212"
3711 日月光投控,2025/12/12,245.5,248,241.5,243.5,"13,651"
3711 日月光投控,2025/12/11,247,247.5,243,244.5,"17,621"
3711 日月光投控,2025/12/10,240.5,246.5,239,244.5,"19,559"
3711 日月光投控,2025/12/9,238.5,245,236.5,240,"25,895"
3711 日月光投控,2025/12/8,233,238.5,233,237.5,"23,767"
3711 日月光投控,2025/12/5,227.5,231,224.5,231,"13,666"
3711 日月光投控,2025/12/4,231,231,225,228,"17,856"
3711 日月光投控,2025/12/3,233,233,226.5,229,"16,274"
3711 日月光投控,2025/12/2,228.5,233.5,227,228.5,"23,665"
3711 日月光投控,2025/12/1,227,230,223,224.5,"28,174"
3711 日月光投控,2025/11/28,229,230.5,225,229.5,"25,774"
3711 日月光投控,2025/11/27,223.5,234.5,223.5,230.5,"37,855"
3711 日月光投控,2025/11/26,217,221.5,214.5,217.5,"20,380"
3711 日月光投控,2025/11/25,216.5,218,209.5,212,"23,999"
3711 日月光投控,2025/11/24,212,215,210,210.5,"33,678"
3711 日月光投控,2025/11/21,210,212,206,209,"33,914"
3711 日月光投控,2025/11/20,213,222.5,210.5,222.5,"39,495"
3711 日月光投控,2025/11/19,211,212.5,206,209.5,"42,363"
3711 日月光投控,2025/11/18,220,222.5,212,215,"27,179"
3711 日月光投控,2025/11/17,224,225.5,219.5,220,"24,986"
3711 日月光投控,2025/11/14,224.5,225,220.5,222.5,"21,031"
3711 日月光投控,2025/11/13,227,233.5,225.5,231.5,"20,996"
3711 日月光投控,2025/11/12,227,229.5,225,227,"16,586"
3711 日月光投控,2025/11/11,230,232,226,228,"18,882"
3711 日月光投控,2025/11/10,229,232,227,228.5,"22,657"
3711 日月光投控,2025/11/7,231,233,226.5,228.5,"20,331"
3711 日月光投控,2025/11/6,239.5,241.5,233.5,234,"25,136"
3711 日月光投控,2025/11/5,230,238.5,230,235,"33,504"
3711 日月光投控,2025/11/4,248.5,251.5,237,239,"38,818"
3711 日月光投控,2025/11/3,248.5,251,242.5,246,"40,987"
3711 日月光投控,2025/10/31,225.5,247.5,225,247.5,"54,452"
3711 日月光投控,2025/10/30,220,227.5,219,225,"46,443"
3711 日月光投控,2025/10/29,205,222.5,204.5,221,"43,197"
3711 日月光投控,2025/10/28,199.5,203,198,203,"21,533"
3711 日月光投控,2025/10/27,202,205,198,202.5,"31,093"
3711 日月光投控,2025/10/23,191.5,196.5,190,196,"18,906"
3711 日月光投控,2025/10/22,191.5,193.5,190.5,193,"18,468"
3711 日月光投控,2025/10/21,200,200,194,195,"25,981"
3711 日月光投控,2025/10/20,193.5,200.5,191,200,"24,539"
3711 日月光投控,2025/10/17,191.5,199.5,189.5,196,"43,134"
