證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2317 鴻海,2025/12/31,228.5,231.5,228,230.5,"41,319"
2317 鴻海,2025/12/30,230.5,231,228,228,"36,162"
2317 鴻海,2025/12/29,227,233,226.5,231,"57,945"
2317 鴻海,2025/12/26,225.5,227.5,224.5,225.5,"28,935"
2317 鴻海,2025/12/24,225.5,227.5,224,224,"36,443"
2317 鴻海,2025/12/23,225.5,226,223.5,224,"29,629"
2317 鴻海,2025/12/22,224.5,225.5,223,224,"40,062"
2317 鴻海,2025/12/19,219,221.5,218,221.5,"41,562"
2317 鴻海,2025/12/18,214.5,217,213.5,216,"50,364"
2317 鴻海,2025/12/17,218,219.5,216,216.5,"51,129"
2317 鴻海,2025/12/16,220,220.5,215,218,"63,458"
2317 鴻海,2025/12/15,221,223,220.5,221.5,"44,481"
2317 鴻海,2025/12/12,227,228.5,225,227,"29,684"
2317 鴻海,2025/12/11,234,234.5,226,226,"60,054"
2317 鴻海,2025/12/10,236,236,232,233.5,"36,069"
2317 鴻海,2025/12/9,233,236.5,232,235,"54,359"
2317 鴻海,2025/12/8,231.5,232,229,232,"29,940"
2317 鴻海,2025/12/5,229,231.5,228.5,231,"35,103"
2317 鴻海,2025/12/4,230,230,227.5,228.5,"25,728"
2317 鴻海,2025/12/3,225,230,225,227,"53,110"
2317 鴻海,2025/12/2,220.5,225,220.5,222,"49,869"
2317 鴻海,2025/12/1,225,226,222,222,"52,409"
2317 鴻海,2025/11/28,229.5,229.5,225,225.5,"56,939"
2317 鴻海,2025/11/27,229,232,226,231,"63,038"
2317 鴻海,2025/11/26,221,228,221,227,"68,461"
2317 鴻海,2025/11/25,225,226,219,219,"73,643"
2317 鴻海,2025/11/24,226.5,227,220,220,"100,270"
2317 鴻海,2025/11/21,226,229.5,225,225,"97,471"
2317 鴻海,2025/11/20,237,238,232.5,236.5,"78,464"
2317 鴻海,2025/11/19,226.5,230,226.5,229,"70,909"
2317 鴻海,2025/11/18,231.5,237,230,230,"77,859"
2317 鴻海,2025/11/17,241,242,235,236,"84,874"
2317 鴻海,2025/11/14,246.5,247,241,241,"112,889"
2317 鴻海,2025/11/13,256,256,247,252,"90,541"
2317 鴻海,2025/11/12,248,252,245,251,"65,085"
2317 鴻海,2025/11/11,251,252,246.5,246.5,"50,821"
2317 鴻海,2025/11/10,245,250,244,249.5,"51,628"
2317 鴻海,2025/11/7,246,250.5,244,244,"50,319"
2317 鴻海,2025/11/6,249.5,250.5,246,248,"65,794"
2317 鴻海,2025/11/5,239,248.5,237,247,"114,664"
2317 鴻海,2025/11/4,252,255,244,244,"95,832"
2317 鴻海,2025/11/3,255,256.5,250,251.5,"97,190"
2317 鴻海,2025/10/31,261,262,257,257.5,"63,119"
2317 鴻海,2025/10/30,262.5,265,256.5,262,"108,445"
2317 鴻海,2025/10/29,254,263,253,260,"125,297"
2317 鴻海,2025/10/28,248,250,246.5,250,"73,662"
2317 鴻海,2025/10/27,249,249,243,246.5,"80,708"
2317 鴻海,2025/10/23,240,240.5,238,239,"50,955"
2317 鴻海,2025/10/22,238,243,236.5,242.5,"71,609"
2317 鴻海,2025/10/21,241.5,245.5,238,239,"120,698"
2317 鴻海,2025/10/20,230,239.5,229,238.5,"152,953"
2317 鴻海,2025/10/17,224,230,222.5,226.5,"119,855"
2317 鴻海,2025/10/16,215,225.5,211.5,223,"154,273"
2317 鴻海,2025/10/15,207.5,208,203,206.5,"65,964"
2317 鴻海,2025/10/14,216,217.5,205,206,"108,702"
2317 鴻海,2025/10/13,210,216,210,213,"111,260"
