證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2408 南亞科,2025/12/31,196.5,201,189.5,193,"115,478"
2408 南亞科,2025/12/30,189,200,189,194.5,"152,110"
2408 南亞科,2025/12/29,189.5,191,184.5,188.5,"72,720"
2408 南亞科,2025/12/26,190.5,191.5,187,189,"78,418"
2408 南亞科,2025/12/24,177.5,190,175,189,"118,963"
2408 南亞科,2025/12/23,181,181.5,176,176.5,"74,676"
2408 南亞科,2025/12/22,184.5,186,178.5,180,"156,426"
2408 南亞科,2025/12/19,177,177,170,174.5,"38,432"
2408 南亞科,2025/12/18,164.5,171,164.5,170,"40,687"
2408 南亞科,2025/12/17,160.5,164.5,158.5,164.5,"30,151"
2408 南亞科,2025/12/16,160,161,154.5,158,"25,043"
2408 南亞科,2025/12/15,157,163,156,162.5,"17,448"
2408 南亞科,2025/12/12,158,162,158,162,"26,669"
2408 南亞科,2025/12/11,160,160,156,156,"15,169"
2408 南亞科,2025/12/10,162,162.5,155,156,"26,800"
2408 南亞科,2025/12/9,165,165,159,162,"27,319"
2408 南亞科,2025/12/8,156,163.5,156,163.5,"48,697"
2408 南亞科,2025/12/5,150.5,156,146.5,153,"141,034"
2408 南亞科,2025/12/4,151,152.5,145.5,151,"135,892"
2408 南亞科,2025/12/3,153,158,148,151,"200,254"
2408 南亞科,2025/12/2,152.5,152.5,144.5,149.5,"122,170"
2408 南亞科,2025/12/1,147,152,144,149.5,"97,816"
2408 南亞科,2025/11/28,146,149.5,142.5,146,"109,499"
2408 南亞科,2025/11/27,141.5,146,139.5,146,"140,139"
2408 南亞科,2025/11/26,142.5,145.5,133,136.5,"165,577"
2408 南亞科,2025/11/25,153.5,156,142,143.5,"195,798"
2408 南亞科,2025/11/24,141,145.5,138.5,143,"177,387"
2408 南亞科,2025/11/21,141.5,145,140,140,"134,957"
2408 南亞科,2025/11/20,169.5,169.5,144.5,155.5,"405,613"
2408 南亞科,2025/11/19,156.5,162.5,154,160,"153,622"
2408 南亞科,2025/11/18,165,168,156,160.5,"192,854"
2408 南亞科,2025/11/17,170,172.5,164,166.5,"188,655"
2408 南亞科,2025/11/14,156,162,150.5,158.5,"219,349"
2408 南亞科,2025/11/13,164.5,178.5,156.5,163.5,"363,056"
2408 南亞科,2025/11/12,160,166.5,158,163,"192,259"
